id,价格,评价,评价日期,票务类型,评论,
匿名用户,425,1,2021.09.13,华山风景名胜区单程北峰索道票,文字很长，强烈提示！要买票一定要通过正规渠道买，千万不要通过第三方买比如司机、自称内部工作人员的人，不然被坑了还没办法退，华山的管理真的是很垃圾，出租车司机和内部人员相互勾结，给你推荐让你买门票索道票，说他兄弟在景区工作，从他那拿票自己能挣五块，结果给你给的是团体票，团体票实际卖126元一张（后来找他们退票费时候他们说的），但是票上写的是140元，他还是会140收你的钱，我真不知道他们一天能黑游客多少钱，刚好那天我碰到大风天西峰索道不开，拿着票去退，工作人员推来推去说不是他们那出的票，第一句就是问在谁那买的（他们明知道他们内部人员在倒卖票），让你去找这个窗口那个窗口，还给我来句：我是在帮你，帮我？你们自己出的票，我找你们退竟然觍着脸说是在给我帮忙？白跑冤枉路还不给你退钱，我说我要投诉，这票明明盖着你们的章子难道是我假造的？工作人员直接来一句每天像你一样投诉的人也很多……明明知道自己内部管理有问题还说的这么理直气壮，非得让我投诉他们才松口给我退，但是只给我按团体票126元退，我不同意，到处找投诉电话，他们才又找到另一个姓柳的人把余款给我退了。希望这个评价能上去，附上投诉电话。,
匿名用户,425,5,2021.10.24,华山风景名胜区票+西峰摆渡车票（上行）+关帝庙景区票成人票, ,
咔吃咔吃mmm,425,5,2021.10.31,华山风景名胜区西峰单程索道票成人票,风景独好，站在山顶真是太美了，我们去的时候刮了大风，长空栈道都不能玩，比较遗憾，风景非常美，也非常险，如果爬山从北边上是极好的，如果是爬山菜鸡，那么建议坐缆车，然后从北边下山，就是坐缆车需要排很久的队，主要是节假日，哪个景区人都多。总之，非常棒了，建议大家去体验,
匿名用户,425,5,2021.10.07,华山风景名胜区（徒步登山）门票成人票,强烈推荐！国庆夜爬上山，看到了日出，运气无敌好，后面几天就下雨了，风景炒鸡好，真正一步一步爬上去才知道山有多么巍峨,
exw725124877,425,5,2021.11.16,华山风景名胜区单程北峰索道票,做的惊心动魄，还好运行非常平稳，非常值得,
mVD830672747,425,5,2021.11.04,华山风景名胜区（徒步登山）门票成人票,一个字，来！,
懒小猫的快乐,425,3,2021.08.16,华山风景名胜区门票+往返北峰索道票+往返北峰索道专线巴士, ,
马驹麻麻,425,5,2021.07.07,华山风景名胜区门票成人票,来西安跑马，想着必须来华山一次，本想夜爬看日出，想想晚上啥也看不到还是白天来，买了早上最早的火车，下车打车直奔玉泉院，带了三瓶水和面包饼干鸡蛋，早就听说华山是奇险天下第一山果然名不虚传，华山是真险也真陡，完全不同于黄山。爬过华山之后我是相信当年岳灵珊对令狐冲的感情绝对是真爱，天天爬山来给他送饭简直太南了。腿也是真的酸爽，人生也许总得有些遗憾，上山时间太久怕赶不上高铁就没去长空栈道。但是我觉得这也是一种缺憾美，假若来到西安未去华山才真的遗憾。感谢这次华山之行，有点恐高的我一次次克服自己对自然的恐惧，在百尺崖老君犁沟那边真的快要累到崩溃，腿已经不是自己的了，本以为自己体力尚可没想到还是心率一度飙升到170，真是手脚并用，阶梯太窄了，我是37码的鞋只能容纳三分之一，一点也不敢往后看，害怕随时会掉下去。可是沿途看到还有老年人来爬山又给自己鼓劲要到山顶，终于经历6小时到了西峰莲花峰，俯视群山，顿时一览群山小，那天的云也是我见过最美的云，又一次战胜了自己很有成就感。人生苦短，有花堪折直须折，莫待无花空折枝。所以华山，这辈子一定要去一次。,
KTN492070288,425,5,2021.09.23,华山风景名胜区（徒步登山）门票成人票,第一次来华山就体验夜徒，晚上8点上山凌晨2点到的东峰顶。路上还遇到小伙伴，一起爬。没看天气预报大晚上下雨了，5个人就挤在一个帐篷里面，7点没有日出就直接从西峰索道下山了，果然最美西峰，雨天路滑就没去南峰，还是有点遗憾，有机会会再来一次，奥利给,
小圆儿law,425,3,2021.11.05,华山风景名胜区（徒步登山）门票成人票,服务还可以，市内公交免费到景区（虽然门票能赚回来吧hhh），一定记得带手套，到时候可真的是手脚并用，最好再买一顶帽子，我们还买了登山杖，按照当地人家的推荐路线，不错。顺便说一句，还吃了当地的肉夹馍，很正宗的，真不戳,
WXf393645335,425,3,2021.10.20,华山风景名胜区西峰索道单程票,当天下点下雨 有点雾霾 山顶风景不错 可以去玩一玩,
匿名用户,425,3,2021.09.29,华山风景名胜区西峰索道单程票,五岳华山险为首，早就想去一趟华山，今次终于成行，遂了心愿。美景不胜收，果然独具一格，使人留恋忘返！,
匿名用户,425,2,2021.10.08,华山风景名胜区（徒步登山）门票成人票,爬山的感觉还不错  我是2号去的 重要提示山顶水比较贵。在山脚下卖比较好   长空栈道没有开放没有提示去不成。这个比较不满意客服电话打不通。！！,
朝夕SaMa,425,4,2021.09.21,（地推）华山风景名胜区票+北峰摆渡车票（上行）+关帝庙景区票成人票,夜里下山有路灯坏了看不清台阶，旁边悬崖- -下山腿疼三天，山上面烤肠牛丸好难吃- -尖叫脉动18一瓶。。。,
wqJ707647945,425,5,2021.10.26,华山风景名胜区票门票（徒步登山）,风景雄伟，是个值得去的好地方。,
匿名用户,425,3,2021.10.06,华山风景名胜区（徒步登山）门票成人票, ,
树1988,425,4,2021.09.03,华山风景名胜区（徒步登山）门票成人票,我喜欢旅游，华山真的值得推荐！我是从北峰开始爬，爬了11个小时终于爬到东峰，为了看日出也是拼了，可惜天公不作美没有看到日出，但沿途的风景还是很不错的，值得来一次爬山之旅！！就是爬完整个人都散架了！！！！,
oZm911856675,425,5,2021.11.03,华山风景名胜区（徒步登山）门票成人票,好很好很美风景,
柴柴chaichail,425,5,2021.08.27,华山风景名胜区（徒步登山）门票成人票,华山以险闻名天下，这次爬山果真是亲身体验到了它的险，中途有几段路甚至手脚并用才能上去，惊险又刺激，作为爬山新手上山用了七个小时，差点没虚脱，所以下山坐的索道，北上西下，不愧为好路线，坐索道全程也是一种享受，15分钟的下山时间与上山时间形成鲜明对比，但华山景色无余尽收眼底，让眼睛享受好一番美景，两个字，舒服！有机会还要再去。,
我是小仙女儿c,425,3,2021.12.02,华山风景名胜区西峰单程索道票成人票,还不错 只是我们去的那一天天气不太好 没有看见日出,
ww1246802,425,5,2021.11.30,（经典玩法不走回头路）华山门票+单程西峰索道票+单程北峰索道票+单程北峰索道专线巴士票+单程西峰索道专线巴士票,玩得很开心的一次旅游。景区感觉很不错。有机会再去,
乱世小熊猫,425,5,2021.10.22,华山风景名胜区（徒步登山）门票成人票,风景优美，体验很好，太好玩了。还想去,
EXV182958025,425,3,2021.12.01,华山(玉泉院西山门徒步登山)学生票,挺好的 路途近  价格优惠交通便利  好好好好,
C型人生。,425,5,2021.12.01,（地推）华山风景名胜区票+北峰摆渡车票（上行）+关帝庙景区票成人票,玩的很开心很开心，就是腿很累,
x饿龙咆哮x,425,4,2021.09.06,华山风景名胜区（徒步登山）门票成人票,先说缺点 从玉泉院上山去的那一段路一股臭味 直接打破你对华山的所有美好幻想 优点  山上风景真的很美 真的很险峻 忠告  恐高的没必要来这虐自己 还有就是不要夜爬 日出真比不上沿途爬上来看见的风景,
Mr.黯然,425,3,2021.07.25,华山风景名胜区（徒步登山）门票成人票,进大门要扫健康码，早上七点15开始爬山，到达北峰顶花了三个小时，坐索道的话，可以省去这三个小时，然后剩下的就是人特别多，走到哪都要排队，中途在休息，到达西峰的时候，已经下午两点多了，慢慢的开始下山，再回到玉泉院的时候已经快六点了，逛整个华山，全程步行走了，大概五万步，有多累就不说了，建议穿速干衣，纯棉的就不要穿了，我看有些人从上山一直到下山，衣服都没干过，那多难受，到山顶的时候要做好防晒，其余的地方还是蛮凉快的，手套一定要买，背包里不要装太多食物，山上有卖的，只是比较贵而已，越往高处走，水资源越匮乏，卫生间连水都没有,
匿名用户,425,5,2021.11.23,（地推）华山风景名胜区票+北峰摆渡车票（上行）+关帝庙景区票成人票,和老婆一起去爬山，哈哈哈，还好有索道，不然真的累的下不来了,
XUl276923910,425,3,2021.07.27,华山风景名胜区（徒步登山）门票成人票,我是从北边的玉泉院步行上去的，从西边坐索道下，接着坐了30元的滑道，有点好玩。因为是上山，所以爬山比下山好点，我走了大概5个半小时，只有东峰没上去了，其它西、南、北都去了，走路是越走越新鲜，估计是养气足，感觉不是很累，步行能走到“千尺幢”，那里是90度笔直的，楼梯很窄5至10厘米左右。，爬上去不敢看下面，而且很长很高，我只敢看前面一个台阶，生怕停下来不敢走，一股气爬完全程，坐在梯子上脚都是发抖的，不敢在往下看，寻求刺激的可以试试，到了山顶感觉那些垂直的梯子都是小儿科了，如果不想走太多 ，建议北坐索道上，一路向西都是爬山，这样会好点，然后从西坐索道下，北峰到西峰估计2小时可以走完。,
vdx162248597,425,5,2021.12.02,华山风景名胜区票门票（徒步登山）,非常满意的一次,
真爱百年99,425,5,2021.11.09,华山风景名胜区西峰索道单程票,下了好大决心 跟老公登了华山 真的绝对不虚此行 虽然很累 但华山的险无山可敌 在山顶俯瞰脚下 真心太美了,
树袋熊0351,425,5,2021.10.04,华山风景名胜区票门票（徒步登山）,说说真实的感受。华山官网的攻略说徒步到北峰需要3小时左右，实际耗时约5小时。如果不是体力特别牛叉的，大家一定要多预留时间。苍龙岭的云海很漂亮，如果登山途中有雨，可以一睹风采。,
小仙女的美食团,425,3,2021.09.02,(地推）华山风景名胜区票+西峰摆渡车票（上行）+关帝庙景区票成人票,还可以吧，一个人坐索道着实吓死我了，去的时候爱晚亭正在整休。东上索道，南下旅游观光车。不过这个景区玩的一般，附近有一个花道寿司挺好吃的。,
阳光照射它脸上,425,5,2021.09.30,(地推)华山风景名胜区门票+北峰摆渡车+北峰单程索道+关帝庙成人票,一个字，险，华山不愧是五岳最险，下的腿软,
kaT673829840,425,3,2021.11.24,华山风景名胜区门票成人票,门票是真贵呀，风景也是真壮观呀,
OKf294010150,425,5,2021.09.11,华山风景名胜区（徒步登山）门票成人票,华山是第二次去了，依然觉得此生必去，美景无法用语言描述，手机拍不下华山的险奇，美哉！我大中华！,
匿名用户,425,5,2021.11.27,华山风景名胜区（徒步登山）门票成人票,去突破自我的时候就去华山,
aGn680347954,425,3,2021.11.23,华山风景名胜区-门票,挺好的，风景优美，景色迷人，大家可以去看看,
RTC759448511,425,2,2021.11.25,华山风景名胜区票门票（徒步登山）,去了下雨，一个人累得要死想哭？？？？？,
北风咧咧,425,5,2021.10.03,华山风景名胜区（徒步登山）门票成人票, ,
沈一帆666,425,5,2021.11.22,华山风景名胜区西峰索道单程票,很有挑战性，特别索道,
IJd649364916,425,3,2021.11.23,（上行）华山风景名胜区门票+单程西峰摆渡车票+单程西峰索道票,有机会再去登华山。。。。。。。。。。。。。,
QUE311575211,425,1,2021.11.13,华山风景名胜区（徒步登山）门票成人票,辣鸡地方，人民币都不收，手机没有网不行，自己想办法。就是不收现金。,
匿名用户,425,4,2021.08.13,华山风景名胜区（徒步登山）门票成人票, ,
CQA384372492,425,3,2021.11.21,华山风景名胜区（徒步登山）门票成人票,感觉还可以，爬山还可以………………,
娃哈哈45678,425,5,2021.09.29,华山风景名胜区（徒步登山）门票成人票,有的地方没有扶手和锁链，有点吓人啊，，，注意安全，慢慢爬,
一点尘埃105,425,3,2021.11.13,华山风景名胜区票门票（徒步登山）,第二天天气相当给力，太美了，很不错，是我三次登陆最美的一次。。。。。,
赵远胜啊,425,5,2021.11.10,华山风景名胜区学生门票+单程西峰进山车票,设施齐全，服务热情，环境也不错，交通便利，值得推荐,
梦游起来开路由,425,5,2021.08.15,华山风景名胜区西峰索道单程票,「华山西峰」「长空栈道」实在是来不及去东峰？看日出了其实哪里都可以看，视角不太一样罢了，路上看到有很小的小朋友来爬山的，大人爬下来都累的够呛了，小朋友真的很厉害。前面都有很多补给站，可以买水，泡面和其他的补给等。,
qingxuwei,425,5,2021.11.14,（经典玩法不走回头路）华山门票+单程西峰索道票+单程北峰索道票+单程北峰索道专线巴士票+单程西峰索道专线巴士票,值得推荐，团建好去处,
ycy911104,425,5,2021.11.10,华山风景名胜区（徒步登山）门票成人票,真的强烈推荐徒步上山这条路，风景那是极佳！,
匿名用户,425,1,2021.08.03,（地推）华山风景名胜区门票+西峰摆渡车+西峰单程索道+关帝庙成人票,工作人员态度恶劣，旅游体验差，门票160，缆车140，摆渡车40，还只是单程，一个人差不多要花到500，东西也是相当的贵，一瓶康师傅水15，一桶泡面35，，风景基本都差不太多，去一次绝对不会去第二次，进去孩子都不要票，身高不够120，下来坐缆车工作人员又让买票说身高超了，难不成爬个山我孩子就立马长高了几厘米吗？,
爱人不易i,425,5,2021.10.01,(地推）华山风景名胜区票+西峰摆渡车票（上行）+关帝庙景区票成人票,华山的险和陡名不虚传，但是真的好美,
岚舞曼山谷,425,4,2021.07.07,华山风景名胜区西峰单程索道票学生票,西安的夏天真的燥热，夜爬还好有小凉风，但是路上的风景就欣赏不到了。带女朋友去的，登上峰顶真的很累。晚上九点入园，慢慢爬带中途短时间休息，一点到北峰，四点半到达东峰，上去的时候天还黑，很冷，五40左右日出，腿上凉飕飕的，一定要多带衣服，外套厚裤子上到顶峰必不可少。当你到达金锁关的位置说明离东峰就不远了，日出在仙掌位置也可以看到，山顶人太多了，根本挤不到前面去拍。体力不是很好的不介意去爬，第二天脚很疼，爬之前一定要多休息补充能量，慢爬少休，一次休息的时间长了再走腿很吃力。还有千万记住厚衣服！,
梦游起来开路由,425,5,2021.08.15,华山风景名胜区（徒步登山）门票成人票,「长空栈道」「华山西峰」「华山北峰」【环境】华山的险，真的不是照片或者视频可以体会得到的，必须亲身去感受。不管什么时候，爬山的人都挺多的，完全不用担心一个人。必须准备一下手套，手脚并用是一定的，有好几段路坡度将近90度。,
梨花山房,425,5,2021.07.09,华山风景名胜区（徒步登山）门票成人票,华山风景绝妙，壁立千仞，风景优美，最近去了武当山，觉得比华山差远了，天下第一险实至名归，华山松，云海，都完美，下山索道特别刺激，恐高的人要晕，另外建议，强烈建议不要再任何花钱照相的地方照相，比如华山论剑，很坑，没有我们自己去在路上照的好看，华山索道最后也不要照相，不自然，是他们p出来的；总之风景很美，绝对值得一去,
何时何处遇蒹葭,425,5,2021.07.01,华山风景名胜区（徒步登山）门票成人票,徒步上山先要走一个坡道大概3到4公里，这一段路还是非常好走的。然后开始出现阶梯，也比较正常好走。最难的是千尺幢和百尺峡，这个难点过了就很快到北峰了。千尺幢要特别小心阶梯很窄，最后有一小段接近80度左右倾斜。北峰到金锁关的路基本都是上行，苍龙岭和云台比较刺激，其他也就一般。金锁关之后剩下的四个峰之间的路特别好走没有压力。鹞子翻身和长空栈道很刺激有时间可以排队尝试，但是爬山上来的还是建议不去，毕竟体力消耗巨大，这两个项目还是十分危险。,
匿名用户,425,1,2021.07.31,华山风景名胜区（徒步登山）门票成人票, ,
tVN699904914,425,3,2021.09.02,华山风景名胜区西峰单程索道票儿童票,自然风景很美 偶尔有些路不那么好走 扶边上的链条,
安辛很安心,425,4,2021.10.16,华山风景名胜区西峰单程索道票学生票,累死了,
eUh205887860,425,3,2021.10.26,华山风景名胜区西峰索道单程票,去的时候人太多了，排队排队排队排队还是排队，加上下雨有雾，体验不太好，大家去的话一定要看好天气,
BIJ240306247,425,5,2021.11.07,(地推）华山风景名胜区票+西峰摆渡车票（上行）+关帝庙景区票成人票,很好玩环境很好下次还会去的推荐,
tVN699904914,425,3,2021.09.02,华山风景名胜区西峰单程索道票成人票,这边风景独好哈  西上东下不那么累,
龙戬1988,425,5,2021.05.16,华山风景名胜区（徒步登山）门票成人票,因为时间很赶，是白天一日游，没有看日出，看日出需要夜间爬山到东峰露营  华山以险著称，一定最少去一次，爬山从玉泉院自古华山一条道开始早晨6点进山门登山8点已经到达北峰，这段路比较陡的地方就是千尺幢，百尺峡 还有老君犁沟，几乎都有80度以上角度，到达北峰后，适当补充一下体力，拍拍照，然后就直奔南峰去了，南峰是五岳最高峰，到达南峰后10：30左右，天气突然变成阴天，云雾弥漫，仙气一般，大风刮起，周围很多老铁都说冷，有些妹子穿裙子短裤，那表情简直是，南峰玩了一会没多久就直奔西峰去了，远看西峰真的很吓人，但是上去之后，人多  也就没觉得害怕了，最后爬到西峰顶，但是风依然很大，拍了两张照片后  离开转往东峰，去东峰的路上天气突然开了，最后爬上东峰，然后到中峰玩完后下到北峰休息，因为此时全是下坡路  ，所以膝盖更疼，由于上山时速度太快，伤到膝盖了，打算坐北峰索道回去，但是人太多，当天下午风大，西峰索道提示由于天气原因不得不关闭，此时坐索道的人全部挤身北峰索道，无奈就慢慢的往下爬，最后走到毛女洞处天已经快黑了，但是路程才走了一半，最后越走越黑，好在华山有路灯，回去以后都已经晚上9点。另外爬山时一定要慢点，很伤膝盖的。,
Biscuit83,425,3,2021.06.29,华山风景名胜区（徒步登山）门票成人票,早上9点半开始爬山，到北峰差不多花了4个小时，爬爬休休，然后下午4点多坐西峰索道下去，索道到了还得步行1公里吧到出山大巴车乘坐地，一个人30的大巴车费，，到大巴车停车场再步行1公里出停车场打车回市区酒店，花费9块吧，三公里的距离。。。遗憾的是东峰南峰都没去，本来是准备去的，但是到那的时间不太够，而且最关键的是中午，下午长空栈道排队的人太多了，得1，2个小时等，所以这次华山行只能说是长经验了。。给要来的人一个建议，如果要玩东峰，南峰的长空栈道，鹞子翻身什么的，一定要早点坐西峰索道上去，先去长空栈道玩了再去其他地方，要不排队人会很多，本来是奔着长空栈道去的，结果没完成，很遗憾，，，，，或者是夜爬华山，早上的时候差不多也能到东峰那赶上长空栈道，这样可以省索道的费用，就可能比较累，夜爬会更凉爽一些,
IRZ818727395,425,3,2021.08.08,华山风景名胜区（徒步登山）门票成人票,刚开始往上走还好越往上越累 中途还下起了大暴雨把人淋得 其实山下的泡面是比山上的便宜的山下18山上13 矿泉水10三瓶 ，山顶帐篷200一晚，上山是不可以带打火机的 坐缆车推荐北峰坐 山上小姐姐挺多的非常棒，推荐带女朋友一起，体力不支的就不建议徒步登山了就是有点累哈哈哈哈,
yjU217741762,425,4,2021.08.05,华山风景名胜区西峰单程索道票成人票,我们是中午到从玉泉院进山的，进山后微风拂过，溪水潺潺，一路边走边看边吃边聊，十分惬意。因为时间关系没来得及去西峰看日落，不过北峰的日落也很漂亮，不输东峰的日出差，东峰下来后会冷，可以带件衣服以防感冒。这是一段愉快的旅程。,
匿名用户,425,3,2021.10.23,华山风景名胜区（徒步登山）门票成人票,风景确实很好，就是服务员态度很差，爱搭不理的那种，或许这就是五A景区牛逼的资格吧,
wQU649079381,425,5,2021.07.27,华山风景名胜区（徒步登山）门票成人票,已经第三次上华山了，还是从玉泉院步行上山，用了两天时间遍游华山诸峰，体验了一把长空栈道，太棒了，看最美华山云海，不愧为五岳第一险，美景如画。记得用华山门票可以免费逛西岳庙，可刷身份证。,
LYG19910817,425,1,2021.11.09,华山景区往返直通车不限人群票（周内）,没什么想说的就这吧！！！！！！！！,
PrH496522192,425,5,2021.09.23,华山风景名胜区（徒步登山）门票成人票,夜爬上去，,
梦游起来开路由,425,5,2021.08.12,华山风景名胜区西峰索道单程票,「长空栈道」真的是费尽千辛万苦才爬上去的，天下第一险名不虚传！为了欣赏一下华山的美景，必须要坐一次索道。所有的美景尽收眼底，没有白来，一定要好好感受，时间也挺长的，可能因为不是节假日，人也不是很多，不用排队。,
夏槿凉安icon,425,5,2021.07.02,华山风景名胜区（徒步登山）门票成人票,华山西峰索道务必要去体验     祖国的大好河山，值得推荐。景区环境不错，交通便利方便，不管自驾还是坐高铁过去，都很方便，我们从玉泉院一路爬上来，爬到北峰大概六个小时，一路上都有商贩，10元3瓶水    在最后一关开始10元2瓶     越往上就越贵，总体价格都可以接受。    晴天的话会很晒，做好防晒措施。,
jNP486789706,425,5,2021.10.29,华山风景名胜区西峰票+北峰票 - 往返索道票+车票（西上北下）,天下名山，去了真值得，希望能看看冬天的华山，应该是另外一番美景,
