id,价格,评价,评价日期,票务类型,评论,,,,,,,,,,,,
小哥哥的胖二狗,42,5,2021.10.10,颐和园旺季成人（上午场门票）,今年又一次和我先生一起去北京旅行，第一站我们就去了颐和园，真的非常不错，景色宜人，而且面积很大，从早上一直逛到下午，中午的时候，还有一些老人参加合唱，感觉很文明，很棒，在哪里坐一会，听一会合唱，感觉很放松,,,,,,,,,,,,
NWy721134921,42,5,2021.11.30,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）, ,,,,,,,,,,,,
iFH204013745,42,5,2021.10.10,颐和园旺季成人（下午场门票）,环境很好，带着孩子没有走玩就返回了，今天来了游船没有开放唉可惜了因为有游船得话可能看的地方更多一些，值得带父母来看看，60岁以前的老人只用身份证就可以了门票30一张购票平台上都可以买，去了景点直接刷身份证进入,,,,,,,,,,,,
luojing8996,42,5,2021.11.27,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天边导 很有耐心。非常热情大爱，讲解！,,,,,,,,,,,,
匿名用户,42,5,2021.11.13,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天崔毅导游阿姨很热情，单身的朋友也可以来，阿姨帮你全程拍照，赞赞的，人和景一样美,,,,,,,,,,,,
坤66老哥,42,3,2021.10.10,颐和园成人门票+龙舟船票+导游讲解服务（9:00-15:00入园）,里面真的好大，空气很好，环境也不错，不仅身心愉悦了，心情也好多了，还长了许多见识，特别棒的一次旅行，真是北京旅游必去的景点之一，真的特别棒，我挺满意的！而且那天天也特别好，凉凉的，也没有大太阳，挺舒服的一天！,,,,,,,,,,,,
大老虎的小猫猫,42,5,2021.09.09,颐和园语音导览票,颐和园真的也太美了。门票需要提前至少一天购买，选择上午或下午，我们是上午去的，阳光非常好，进去就可以验票了，语音导览有很多站点可以借用耳麦，归还非常方便，位置识别也比较准确，到哪个位置就给播放那段录音，不至于在路上瞎逛，很推荐这个语音导览，介绍的也很详细，婉婉道来，在颐和园中漫步，沐浴着春日的暖阳，呼吸着新鲜的空气，感受着那时的故事，非常好的体验,,,,,,,,,,,,
MOC670127148,42,5,2021.10.26,颐和园旺季成人（下午场门票）,皇家园林，美景。,,,,,,,,,,,,
gds266399911,42,5,2021.11.25,颐和园淡季成人（下午场门票）,感谢天天乐享，张雷导游的讲解，一路讲的非常细致，对路，对房，对景，有问必答强烈推荐,,,,,,,,,,,,
回眸一笑百媚生er,42,3,2021.09.13,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,佛香堂内听禅银三面环水一面山颐和园帝王行宫玉兰花香处处有凤舞龙腾好风光十七孔桥连八角长寿延年福寿康导游的讲解感觉不够引人入胜通过自己百度一下 知道更多的历史知识真想自己也能过上一天十二次108道菜的生活行乐到此也不枉做一回女人了,,,,,,,,,,,,
匿名用户,42,5,2021.10.15,颐和园旺季成人（上午场门票）,带老妈一起去的，一年怎么也得去个四五次吧，就喜欢在颐和园坐船，尤其是夕阳西下，特别美,,,,,,,,,,,,
qJF304561188,42,5,2021.10.04,颐和园成人上午场大门票+金牌导游深度讲解（不含园中景点门票）, ,,,,,,,,,,,,
匿名用户,42,5,2021.10.20,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天的啊峰，讲的特别相信，特别耐心，而且挺幽默的，所以推荐来看看！讲的也详细！,,,,,,,,,,,,
htL185129160,42,5,2021.10.29,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,一点都不夸张 乐享天天的编导 讲的让我感觉穿越了当地,,,,,,,,,,,,
WoY509032756,42,5,2021.11.08,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天阿雷，服务也非常好，一直电话确认讲解非常完美，讲解历史也很详细，知识面也非常广。,,,,,,,,,,,,
张光亮张静怡,42,5,2021.09.24,颐和园成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,赞，没说的，必须推荐，导游也很热心，讲解的很风趣，真心推荐，大夏天来的，绿树成荫，有山有水，特别清凉，带着孩子一起过来的，孩子还没玩尽兴，里边的设施很齐全，景点的安全设施也很到位，导游都是有证的，导游没有一点另收费，也不会领你进去里边的购物店。,,,,,,,,,,,,
大白菜3631,42,5,2021.10.23,颐和园成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,非常好的游览体验，跟着乐享天天导游崔毅大姐，边走边玩，边了解历史，自然风景，人文风光，获益良多,,,,,,,,,,,,
GcX825667231,42,5,2021.11.26,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天啊红导游棒棒哒！讲解非常不错！感谢！,,,,,,,,,,,,
YT526934333,42,5,2021.10.14,颐和园旺季成人（下午场门票）,不错，散心的好地方，长廊昆明湖，吹吹颐和园的晚风,,,,,,,,,,,,
无敌帅气小老爹,42,5,2021.08.19,颐和园旺季优惠（上午场门票）,颐和园里面的项目非常非常多。有很多项目都值得一游。里面的景观用文字是表述不出来其中的。只有自己真正亲身经历过一次才能体会到他的雄伟壮观。如果说想要把颐和园整个游一圈的话。他是至少要三四个小时以上的。我实在是。爬不动了就坐了游船非常推荐他的。这个船。票价也十分合适，能看到许多岸上看不到的景色。我去的时候，他是阴天，非常舒服。大家可以挑选一个。美丽的天气去游玩。祝大家玩的愉快！,,,,,,,,,,,,
橘子味夏天257,42,4,2021.10.06,颐和园旺季优惠（下午场门票）, ,,,,,,,,,,,,
石头爱吃爱吃爱吃,42,5,2021.11.25,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天-张雷导游导游讲解很细致，感觉自己的知识又增加啦~而且还可以进行历史贯穿对比，有调理有逻辑,,,,,,,,,,,,
嗖嗖嗖陈翔六点半,42,5,2021.11.28,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天阿红导游,,,,,,,,,,,,
嗖嗖嗖陈翔六点半,42,5,2021.11.28,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天阿红导游,,,,,,,,,,,,
yZC480991501,42,5,2021.10.08,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）, ,,,,,,,,,,,,
吃饭绝不加醋,42,5,2021.08.18,颐和园优惠下午场大门票+金牌导游深度讲解（不含园中景点门票）,我推荐那些上历史课不瞌睡的人来选择这个,接待我们的是一个有点胖胖的大哥,真的是我见过服务最好的人,特别温柔,然后给我们讲解的是一位大姐姐,很是声趣幽默,只是同行的其他三个朋友不喜欢这种氛围,然后最后我也只能把耳麦还了,也了解到了很多关于慈禧和李连英的故事,明白了那些摆放的石头和建筑的意义,不枉此行！但是不喜欢历史，纯粹的就是想自由的拍风景的不建意！这真的需要去用心体会,当然也要和同行的人商量好,他们是否喜欢这种感觉文化体验
绘色绘色,42,3,2021.11.20,颐和园旺季成人（下午场门票）, ,,,,,,,,,,,,
mistahes,42,2,2021.12.03,颐和园（不含门票）大师讲解中文方明完整微信版,入园前均可购买,「佛香阁」「乐寿堂」「十七孔桥」【环境】【交通】【交通】【项目】【餐饮】,,,,,,,,,,,
紫云晴竹,42,4,2021.08.21,颐和园旺季成人（上午场门票）,颐和园人太多了。没逛完就出来了。限制人流了还这么多人。上午场。人山人海。第二次来。以前来的时候觉得景色挺漂亮，很喜欢。这次都没怎么逛，两个小时不到就出来了。还好北京景区门票不贵。当年来北京时候，地铁才两元，坐到哪里都是两元。现在不是喽,,,,,,,,,,,,
zMU716814369,42,4,2021.11.27,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,边导讲解的很好,,,,,,,,,,,,
普通用户d,42,2,2021.10.10,颐和园旺季成人（下午场门票）,大公园就是，风景看得多 建筑少些。也都进不去 看看外观,,,,,,,,,,,,
GY880816,42,5,2021.10.15,颐和园成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,强烈推荐 乐享天天导游 崔毅，讲解的非常详细，生动有趣！带队高效，景点全面。,,,,,,,,,,,,
shz451813753,42,4,2021.10.14,颐和园旺季成人（下午场门票）,很不错，推荐去游玩，来北京上学肯定要去这些景点，推荐去颐和园，虽然要上很多石台阶，但风景确实很不错。很不错，推荐去游玩，来北京上学肯定要去这些景点，推荐去颐和园，虽然要上很多石台阶，但风景确实很不错。,,,,,,,,,,,,
匿名用户,42,3,2021.12.01,颐和园旺季成人（下午场门票）,还不错就是妈妈生病期间走不动，很多景区没有进去，只是走马观花，简单欣赏了一下,,,,,,,,,,,,
Lsn127795326,42,5,2021.09.08,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天的阿峰讲的很仔细，母亲说讲的很通透钱也花的很值，最主要很热心很可爱很随和的一个大哥，逛景点还必须要有一个好导游，颐和园强烈推荐乐享天天的阿峰！,,,,,,,,,,,,
HQE326483680,42,5,2021.10.31,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,秋天的黄昏很美。导游很热情。,,,,,,,,,,,,
永远挚爱CR7,42,5,2021.11.24,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）, ,,,,,,,,,,,,
xAN904224927,42,5,2021.10.12,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天的啊峰讲解的很不错，愉快的体验,,,,,,,,,,,,
烟雨雾雨,42,5,2021.12.02,颐和园旺季成人（上午场门票）,不愧是我国著名旅游景点，皇家园林，非常值得一游,,,,,,,,,,,,
CWU830416817,42,5,2021.11.22,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天导游，非常不错，,,,,,,,,,,,,
gigi521314,42,5,2021.10.10,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）, ,,,,,,,,,,,,
GCL349548681,42,5,2021.11.22,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天导游崔义！,,,,,,,,,,,,
miaoshi8,42,5,2021.11.10,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）, ,,,,,,,,,,,,
eIi807736434,42,4,2021.11.17,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天阿红导游，服务周到，讲解清楚，很棒！！！,,,,,,,,,,,,
doudou93399,42,5,2021.11.19,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天边导，人好讲得好，强烈推荐,,,,,,,,,,,,
小树苗子子,42,5,2021.08.13,颐和园旺季成人（下午场门票）,虽然买的下午场，但下午时间安排了其他项目，就上午去碰碰运气，如果不让进就准备上下午项目调换一下，没想到，检票口不分上下午，只要出示健康码和行程码，拿身份证过安检即可，真的很方便，去的时候正好五一黄金周，但因为疫情原因，限制客流量，所以比以往的黄金周人少些，比平时要多些，天气也好，因为有湖的缘故，风吹的特别舒服，和爸妈一起去的，爸妈第一次来北京，毕竟算是著名景点，而且在小学课本上学过，看过，就是没见过真面目，这次算是看到真面目了，没来过的建议一定要来看看，值得一看,,,,,,,,,,,,
旭妹儿0,42,5,2021.11.19,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天边导人好，讲的不错！,,,,,,,,,,,,
松平2012,42,5,2021.11.27,颐和园旺季优惠（上午场门票）,第二次了，这次基本热死，吃了好几根冰棍，离地铁远是很大弱点,,,,,,,,,,,,
JWO418022056,42,5,2021.11.20,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,导游非常有趣,,,,,,,,,,,,
NRf725576487,42,5,2021.10.26,颐和园旺季成人（下午场门票）,第二次打卡，很漂亮 ，舒心愉悦。,,,,,,,,,,,,
linus0810,42,5,2021.12.01,颐和园旺季优惠（下午场门票）,「十七孔桥」「佛香阁」「乐寿堂」「谐趣园」「知春亭」「仁寿殿」,,,,,,,,,,,,
wbv566238404,42,3,2021.10.08,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,我跟69岁爸爸，一起去玩，69岁的老人免费，我买了两张票，退爸爸那张退不了，导游让我付了40解说钱，我希望贵公司处理下这个问题，景色很好，解说员也特别用心，谢谢,,,,,,,,,,,,
lMj391618245,42,5,2021.11.13,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天导游崔毅讲解的非常好，非常有激情，乐天派，很开心,,,,,,,,,,,,
听几米给你唱首歌,42,5,2021.08.17,颐和园旺季优惠（上午场门票）,啊啊啊啊一定要去啊 真的是让人目不暇接。古色古香，还有一种庄重，宁静，让人心神沉静，真的非常好的体验。因为和同学一起去的，主要拍照多，园区真的超级超级大，我们逛了一上午才过了小小一角，很多地方都没有转完呜呜呜。【环境】舒适，清新【交通】方便，打车，公交地铁都有。唯一缺点是感觉有些地方弄得过于现代化商业化，一些丝绸珠宝饭馆什么的，过于盈利化的痕迹，感觉和园区非常的格格不入。整体给人的格局和壮观，开阔是一种很nice的体验。,,,,,,,,,,,,
liuning523,42,4,2021.09.21,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,服务很好！导游崔毅特别认真地对待每一个游客，照顾每一个人的感受很不容易，讲解细致有趣。,,,,,,,,,,,,
我女朋友会飞,42,5,2021.11.17,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天阿红导游非常棒,,,,,,,,,,,,
xwZ731562270,42,5,2021.11.28,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天阿红声音柔和、讲解精彩，知识丰富，很值得一听。,,,,,,,,,,,,
aFE550348345,42,5,2021.12.02,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天的李导讲解历史文化娴熟生动,,,,,,,,,,,,
旭妹儿0,42,5,2021.11.19,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天边导，强烈推荐！,,,,,,,,,,,,
匿名用户,42,4,2021.10.12,颐和园旺季成人（下午场门票）,景色很美很大，我走了1个小时才走了一点点路实在走不动了就回家了……，下次还去,,,,,,,,,,,,
蒙奇奇kiss,42,5,2021.11.14,颐和园淡季成人上午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天的李导讲解非常棒，耐心、详细，把颐和园的景点栩栩如生的呈现给我们，以后有朋友来，强力推荐，值得一听！,,,,,,,,,,,,
Siu510000465,42,5,2021.12.01,颐和园淡季成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天李导游态度很不错，讲解非常详细,,,,,,,,,,,,
白砚僖阿,42,5,2021.10.17,颐和园成人下午场大门票+金牌导游深度讲解（不含园中景点门票）,乐享天天 崔导游 不厌其烦 热情活泼 幽默风趣 干练 细心 博学大方 烂熟于心 如数家珍 滔滔不绝 吐字清晰 讲解好服务好 态度好 五星级导游,,,,,,,,,,,,
