id,价格,评价,评价日期,票务类型,评论,,,,
超越695,259,5,2021.07.31,黄龙风景名胜区门票（成人票）,黄龙到处都是风景，非常好看，强烈推荐，看完黄龙，感觉任何景色都不入眼了，我带着家人一起去的，到处都是风景。我们一路爬上山，走着下来的，黄龙堪称世界奇迹，比九寨沟更有游玩纪念意义，就是当天我们去下小雨有点冷。如果想去多穿点衣服最好,,,,
冰雪5024,259,4,2021.09.21,黄龙风景名胜区门票+上行索道票（成人票）,好评！景色非常不错！就是索道要走很远才到五彩池，差不多要走一个小时才能到五彩池，要是索道到五彩池的位置近一点就好了。还有就是上面连方便面都没有卖，只有一些饼干和奶茶这些买，建议要去耍的朋友多带点吃的上去。,,,,
神马玩意儿0,259,3,2021.10.08,黄龙风景名胜区门票+上行索道（成人票）,可能是希望太高了，与隔壁齐名的九寨沟不是一个档次，但价格差不多，差几块钱，都是水为主的景点建议直接去九寨沟。,,,,
匿名用户,259,5,2021.10.08,黄龙风景名胜区门票+上行索道（成人票）,好漂亮，上行坐锁道，然后走路，一路自驾黄龙和九寨沟,,,,
钟帅撒,259,5,2021.10.14,黄龙风景名胜区门票+上行索道（成人票）,真的太美啦,,,,
lMV160934119,259,2,2021.10.27,黄龙风景名胜区门票+上行索道（成人票）,挤安逸了，【环境】【交通】【项目】,,,,
shanshui小溪,259,5,2021.10.28,黄龙风景名胜区门票+上行索道（成人票）,喜欢旅行的尽早去玩，不喜欢旅行的更要首选。,,,,
匿名用户,259,5,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,黄龙的山美，谁更美，边走边看，处处有景，强力推荐,,,,
yyy茂,259,5,2021.08.18,黄龙风景名胜区门票+上行索道（成人票）,【环境】挺漂亮的，值得去，就是我们去的时候到了上面倾盆大雨，淋安逸了,,,,
ovT716538618,259,4,2021.07.14,黄龙风景名胜区门票+上行索道票（学生票）,购买学生票的要到售票处换票或拿身份证去注册一下，才能进园乘坐索道，索道到山顶约8分钟，下了索道要一直前行去五彩池，要配备雨具，经常回下小雨。景色还是不错的，个人觉得值得一看。,,,,
咋个肥事鸭,259,2,2021.10.15,黄龙风景名胜区门票+上行索道（成人票）,就一点小池塘对不起国庆近300的门票，个人不太不建议去玩，只去九寨沟就好了。,,,,
浪子辉lion,259,1,2021.10.06,黄龙风景名胜区门票+上行索道（成人票）,个人体验感很差，景点路线规划不合理，距离好远，高原反应太难受了。头疼恶心，下山就吐了。,,,,
匿名用户,259,4,2021.08.16,黄龙风景名胜区门票+上行索道票(成人票）,风景确实挺美的，景区环境干净卫生，每个观景点都能直观的观赏黄龙的风景，走在栈道上还随处可见到松鼠，太可爱了。,,,,
oNT282664004,259,4,2021.08.26,黄龙风景名胜区门票+上行索道票(成人票）,第二次去，还是觉得从下往上看比较美，但坐观光索道不会太累，如果是上行观光，下行索道就更棒了,,,,
蒋321654,259,4,2021.10.18,黄龙风景名胜区门票+上行索道（成人票）,如果天气给力的话，景色还会更好，总之还算可以,,,,
搜索57m点pw,259,5,2021.10.26,None,好想去啊！,,,,
金猪纳福林,259,5,2021.08.10,黄龙风景名胜区门票+上行索道票(成人票）,风景不错，热天凉快，气候宜人，就是有点缺氧的感觉，去的时候人少，游览很不错，我们走的慢，大概花了三四个小时，索道有点贵，80一位，其实走路也不错，坡度不是很陡。,,,,
gFn663060758,259,5,2021.10.26,黄龙风景名胜区门票+上行索道票（成人票）,太美了,,,,
牛在春天里,259,3,2021.10.03,黄龙风景名胜区门票+上行索道票（成人票）,索道排队两个多小时。到上面都没力气看风景了。五彩池一般般，争艳彩池和大门口的迎宾池比较值得推荐。,,,,
RfH317854789,259,4,2021.10.12,黄龙风景名胜区门票+上行索道票（青少年票）,海拔有点高，带孩子一定要有心里准备，上山索道没什么，下山的梯是很长很长的。,,,,
fGE108676115,259,3,2021.08.02,黄龙风景名胜区门票+上行索道（成人票）,黄龙太大了，坐索道车下车后，森林公园走路至五彩池蛮远。我觉得最好看的风景不是五彩池，而是下山的路上，山山水水都很美，随手一拍就是美景。下山的路途风景都太美了，建议不要在山上停留太久。对了，里面还有个瀑布，像金色瀑布。,,,,
不死之修罗,259,2,2021.10.08,黄龙风景名胜区门票+上行索道（成人票）,等了足足近2个小时才坐上索道，差点只能看个夜景黄龙,,,,
gcwgcw666,259,4,2021.10.15,黄龙风景名胜区门票+上行索道（成人票）,赶上下雨，雨中漫步。非常美,,,,
ydK896141985,259,5,2021.10.08,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,环境优美，服务态度好，设施齐全 ，好评！全5分,,,,
蛐蛐1808,259,3,2021.10.14,黄龙风景名胜区门票（成人票）, ,,,,
匿名用户,259,2,2021.10.05,黄龙风景名胜区门票+上行索道（成人票）,走的时候很多，最远的一个景点太远了都没有走过去，景点不集中，不太满意,,,,
钟帅撒,259,5,2021.10.14,黄龙风景名胜区门票+上行索道（成人票）,真的太美啦,,,,
xdt609253383,259,3,2021.09.08,黄龙风景名胜区门票+上行索道（成人票）,来的季节不对，不是雨季水少，看不到流水潺潺的美景！！！,,,,
qXi539388758,259,5,2021.10.12,黄龙风景名胜区门票+上行索道（成人票）,不用排队，很快,,,,
不一样的默契和,259,5,2021.10.06,黄龙风景名胜区门票（成人票）,设施齐全服务周到景色迷人巧夺天工！,,,,
哈de烦,259,5,2021.10.05,（法定节假日）黄龙风景名胜区（60岁-64岁老人票）,景区设施不错！景色不错！,,,,
Ihh186865786,259,3,2021.10.06,黄龙风景名胜区语音导览票（不含门票）,山上信号不好。所以总体也没啥用,,,,
wx402141407,259,2,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,一般般吧，没有想象中那么美。。,,,,
Pjc138125743,259,3,2021.10.04,黄龙风景名胜区门票+上行索道（成人票）,排队两小时，缆车5分钟！堵的心累,,,,
WQF366753325,259,5,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,风景非常棒！,,,,
WQF366753325,259,5,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,风景很棒！,,,,
bHg912916859,259,5,2021.10.10,黄龙风景名胜区门票+上行索道（成人票）,景色很美,,,,
肖兰602,259,4,2021.10.06,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,手机上买票非常方便,,,,
为你闪烁雨点,259,4,2021.08.07,黄龙风景名胜区门票+上行索道票（青少年票）,上山索道有景区公交免费送，停车场收费，景色真美，去了两次都没找到黄龙洞有点尴尬,,,,
暗香800,259,5,2021.08.26,黄龙风景名胜区门票+上行索道（成人票）,非常漂亮，【环境】【交通】都很满意,,,,
WOC639237991,259,1,2021.10.04,黄龙风景名胜区门票（成人票）,未收到凭证！十分生气家人都很生气！,,,,
dFE617213481,259,3,2021.10.02,黄龙风景名胜区门票+上行索道（成人票）,坐索道上去，走路下山不太累，五彩池和争滟池很美，不虚此行,,,,
Vue870101105,259,3,2021.10.05,黄龙风景名胜区门票+上行索道票（残疾人士）,设施齐全，卫生间到位，垃圾清理到位,,,,
Eic215400545,259,5,2021.10.07,黄龙风景名胜区门票+上行索道（成人票）,绝美，真的值得,,,,
满心欢喜的美团,259,3,2021.10.03,黄龙风景名胜区门票+上行索道票（现役军人）,就是景有点少，基本上都是一个景，只是在不同地方。,,,,
sprites333,259,5,2021.10.02,黄龙风景名胜区门票+上行索道（成人票）,很好，一家人一起出去玩，开心就好！,,,,
DtD257074284,259,4,2021.10.04,黄龙风景名胜区门票+上行索道+电子导览（成人票）,值得推荐！,,,,
won1739,259,4,2021.09.27,黄龙风景名胜区门票+上行索道（成人票）,索道价格80元，2-3分钟到达，真心贵！,,,,
流洋记,259,3,2021.08.04,黄龙风景名胜区门票+上行索道票(成人票）,票价偏贵，索道不是来回的，下行需要单独购买，不来后悔一辈子，来了后悔一阵子,,,,
hy2671,259,5,2021.06.30,黄龙风景名胜区门票+上行索道（成人票）,去黄龙建议做缆车上山，走路下山，黄龙海拔最高处大概3500左右，如果走着上山，将会十分痛苦，坐缆车。再走50分钟左右的平路，爬个半小时栈道楼梯就到最高处五彩池，然后一直下，身心都会觉得愉快。黄龙比九寨沟少很多人，值得去。,,,,
pxy452,259,5,2021.08.20,黄龙风景名胜区门票+上行索道（成人票）,名不虚传，风景很美，不能全程坐索道，风景在路上。,,,,
林梓涵涵,259,5,2021.09.23,黄龙风景名胜区门票+上行索道票(成人票）,还不错,,,,
匿名用户,259,1,2021.08.15,黄龙风景名胜区门票+上行索道（成人票）, ,,,,
MEE696733293,259,3,2021.09.11,黄龙风景名胜区门票（非法定节假日60岁以上老人票）,景点很美，就是太难爬山了，索道上不了五彩池，还要走几里路，觉得门票有点贵,,,,
DjG315276765,259,2,2021.06.25,黄龙风景名胜区门票+上行索道（成人票）,应该是季节问题，现在处于枯水期，没得什么看头，植物也是没得生机，建议大家不要坐缆车，有些坑，5分钟不到就是80块，（大家可以走上去，坐缆车下来40元，便宜一半哦）加上之前看了九寨沟，真心很失望。建议还是要到最美季节再来，不然大家会后悔的。,,,,
匿名用户,259,4,2021.09.04,黄龙风景名胜区门票+上行索道票(成人票）,很美，五彩池很漂亮,,,,
金猪纳福林,259,5,2021.08.10,黄龙风景名胜区门票+上行索道票（青少年票）,好耍，景色不错，但是门票以及索道费有点贵，能走的可以选择走路进，走路出，反正坡度也不是很陡，就是年龄大的，最好备上氧气瓶，有点缺氧的感觉，里面氧气瓶很贵，要40元一个，外面药店才10元。,,,,
幸福zzq,259,5,2021.07.31,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,景色太美了，无法用语言形容，大美黄龙,,,,
洋娃娃哭了_2008,259,5,2021.06.30,黄龙风景名胜区门票+上行索道票(成人票）,全程木制栈道，风景特别好，有体力的话，从景区门口直接上山，一路风景，体力差或者高原反应严重，就坐索道上山，再下山看风景，其实也要走很远的，就是没有上山那么累，一路有几个氧吧，可以买氧气，注意防晒防雨，一定带厚点的衣服，山里天气善变，下雨时候特别冷，有风湿的自己备药，景区游客中心旁边有个医务室，只有两种止疼的膏药和口服止疼药，总之还是很推荐去的,,,,
iMp899159667,259,4,2021.09.09,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,好，很好，非常好，确实是好，千真万确好！,,,,
资深情兽！,259,4,2021.05.19,黄龙风景名胜区门票+上行索道票(成人票）,还行吧，路线比较好走，建议一定要做索道上去，然后再一路观着下来。这样比较好走，不累，如果从进去就走路上去，到时候又要走下来真心很累的。之前看评论区说卫生间少，不够用，我不觉得啊，其实每隔一段距离就有卫生间的，很好找，很多了啊。根本用不完了。,,,,
cxo479583581,259,3,2021.07.18,黄龙风景名胜区门票+上行索道（成人票）,这里景色不错，就是不知道下山要五六个小时，把我退都快走断了,,,,
小瓶盖的团团,259,5,2021.08.02,黄龙风景名胜区门票+上行索道票（老人票，非法定节假日）,非常美，个人觉得比九寨还好,,,,
都是缘分的错,259,2,2021.07.15,黄龙风景名胜区门票+上行索道（成人票）,水少跟九寨相比逊色太多啦，门票两个差不多，但是感觉不值当呢,,,,
～紫龙再现～,259,2,2021.09.01,黄龙风景名胜区门票+上行索道票(成人票）,也没什么好的风景，还要爬山，爬的好累。,,,,
ile942325926,259,5,2021.05.05,黄龙风景名胜区门票+上行索道（成人票）,5月4日自驾游-提前一天住在黄龙附近酒店，早上7点30到达景区，5月的黄龙居然下起了大雪，工作人员说人最多的那几天是没有雪的，我们在山下坐索道10分钟到到达了山顶，走路接近1个小时到达五彩池观景区没有积雪，雪景太美丽了，下山如果是没有带老人徒步只需要2小时就到达山下了，没有来过的朋友强烈推荐夏季游玩景色更美丽……,,,,
dVb998554653,259,3,2021.07.18,黄龙风景名胜区门票+上行索道（成人票）,除了旺季票价有点高，其他都挺好的！景色也很美！,,,,
BBj414454225,259,3,2021.08.30,黄龙风景名胜区门票+上行索道（成人票）,为什么要让游客特意绕来绕去的呢？,,,,
散漫床车自驾游,259,4,2021.05.15,黄龙风景名胜区门票+上行索道票(成人票）,6月1日以前是淡季门票，所谓淡季就是许多池子里面没有水，干枯枯的没有看头。除了最上面的“五彩池”，其它池子基本上没有水，“盆景池”就干得一点水都没有。明明听得到旁边有水流下来，就是没有引到池子里，少交110元就只让你看个干池子。,,,,
rQR412765837,259,5,2021.06.15,黄龙风景名胜区门票+上行索道（成人票）,黄龙索道舒适平稳，景色秀丽迷人，不枉此行。,,,,
ibY375553842,259,3,2021.08.24,黄龙风景名胜区门票+上行索道（成人票）,这里有的九寨沟都有，多跑了一趟,,,,
ziO688591704,259,5,2021.07.17,黄龙风景名胜区门票+上行索道票（学生票）, ,,,,
小V也烦恼,259,5,2021.05.23,黄龙风景名胜区语音导览票（不含门票）,黄龙景区在四川省阿坝藏族羌族自治州松潘县境内，海拔在三千米以上，虽然是夏天，但是感觉还是非常的冷，黄龙景区有很多彩池，每个彩池都非常的好看，在阳光下光彩夺目，池水清澈透明，湖里藻类植物，还有钙华，非常好看,,,,
z1690334371,259,2,2021.08.02,黄龙风景名胜区门票+上行索道（成人票）, ,,,,
匿名用户,259,1,2021.08.15,黄龙风景名胜区门票+上行索道（成人票）,真真不怎么样，不推荐来，没有可以玩儿的，风景也一般，吃的也不怎么样,,,,
