id,价格,评价,评价日期,票务类型,评论,,,,,,
z吖伲,519,4,2021.11.24,黄山风景区门票成人票（旺季）,一个人来这里旅行的，先来爬的黄山，在山上住了一天，一百多一个床位那种上下铺，房间里住的是老人团，就我一个年轻人，第一天在爬山6个小时，可能经常运动，并没有感觉累，早上5点起来看日出云海，特别冷，然后又在山上溜达了8个小时，做的缆车下去的，,,,,,,
废掉的波棱盖,519,4,2021.10.03,黄山风景区门票南大门成人票（云谷索道方向）,真的一步一景，第一次来直接头铁爬上去了，景区环境很美，我们爬上去坐索道下来的，上去3.5小时，从云谷寺到光明顶，然后莲花峰，玉屏索道下来，从早上6.30玩到下午2.30很累，很值得。不建议在这里吃饭，景区下面的饭店服务又不好，有坑，纯属骗傻子的，还是市中心吃饭划算。上山一定要带够矿泉水，有钱的当我没说，山上买了一瓶1.5L的康师傅矿泉水20块。带点零食水果士力架，有条件的带点自热米饭，看到别人吃太馋了，最后附上几张图吧,,,,,,
硝酸异山梨酯597,519,5,2021.11.19,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,「西海大峡谷」「迎客松」「飞来石」「白云景区」「黄山光明顶」黄山归来不看岳。风景美就不用多说了吧。云海就看到了远远的一处，可遇不可求，空气清新，阳光灿烂，西海大峡谷很震撼，奇松怪石很多，安徽的风景名胜，棒棒棒赞赞赞赞赞赞赞赞。,,,,,,
排雷神人,519,4,2021.11.26,黄山风景区云谷索道上行成人票,我们买了上行的票.但是我们坐的是下行，检票员小姐姐很温柔呦，帮我们解决了验票的问题，美团上没有显示云谷索道下行的票票，但是买上行也是可行的吶。真的炒鸡省力而且省时，而且还可以直观观赏到黄山的悬崖峭壁。,,,,,,
nRY987679858,519,5,2021.10.16,黄山风景区门票南大门成人票（云谷索道方向）,黄山风景区的松树是一大亮点，风景秀丽，然后迎客松的景点人特别多，建议可以在西边区域游览和看树。山上的网红小缆车还是值得一坐的，风景和体验都很好。黄山半山腰的温泉是一大特色，体验很好。但是景区南大门的入口处体验不是很好，入口售票处太深了，绕过好多旅馆和酒店才找到售票处，建议做大一点。,,,,,,
沈念夏0,519,5,2021.10.04,黄山风景区玉屏索道上行 - 成人票, ,,,,,,
五个半970,519,3,2021.10.31,黄山风景区门票南大门成人票（云谷索道方向）,还不错索道简直永远的神爬山太累了呜呜呜索道爽啊风景也好赞赞【环境】很好【交通】便利 但是要收费 到哪都要收费哦【项目】不多 都是景点 需要爬爬爬 累是真累【餐饮】吃的挺多的 就是贵一点哈哈 「迎客松」「飞来石」「白云景区」「黄山光明顶」「一线天」「云谷索道」,,,,,,
VoC581386799,519,5,2021.11.28,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,【交通】【项目】开始看肯德基快点解决的肯德基韭菜鸡蛋看看看见的警察局打开看看上课肯德基坚持坚持就开始考试考科几肯德基警察局家附近的口袋空空肯德基减肥减肥就口袋空空的就地解决飞机场就开始快快快快就是今年才健康第几集超级快递看看,,,,,,
NingBo小金牛,519,5,2021.10.08,黄山风景区门票南大门成人票（玉屏索道方向）,黄山真的超级棒 相机已经无法表现出真实风景了 从前山慈光阁进，一路拾级而上，经过举世著名的迎客松，再攀爬黄山第一高峰莲花峰，穿越熬鱼洞，达到光明顶。再向西去飞来石。在光明顶住宿一夜，从后山白鹅岭下山至云谷寺。整体印象深刻，天公也作美，比较推荐去玩。,,,,,,
susana0214,519,5,2021.11.12,（不含门票）黄山专业级手机智能导游,和家里人一起全程从山脚下攀爬登顶，那张感觉现在回忆起来还很酸爽，不过很开心，而且现在家里人说了如果现在再选择不知道还有没有体力全程爬上爬下的了，所以是很珍贵的记忆，有机会还要去看日出，云海很美日出东方美极了！,,,,,,
xghvcg,519,3,2021.11.05,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,黄山风景很好，强烈建议要做索道，要做索道，要做索道，步行爬山真的很考验一个人的耐力，索道十分钟，步行三小时，而且风景也一般，好看的风景都在索道之后，还有就是爬黄山一定要看天气预报，挑个好时间才会看到日出，不要像我一样，爬上去下了两天大雨，呜呜呜，日出也没看到，就在酒店呆了两天,,,,,,
凉介1363,519,2,2021.10.24,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,有一说一 门票还是比较贵的 我们五个小伙子没坐缆车 从云谷寺到慈光阁早上8点到下午4点多 整个人都麻了 还有你去有大巴车的时候 边上有大妈说 大巴需要预约 跟他们走坐大巴 他要你80块钱 妈的根本不需要预约直接在车站买就行了 也还是比较危险的 人太多了 山上东西也很贵 一块钱的冰露卖10块钱 一瓶尖叫18麻了 不是年轻人千万别走上去 哈哈哈我们20岁的都废了,,,,,,
uSM137313594,519,1,2021.11.20,黄山风景区成人票,穷乡僻壤出刁民！坐出租车去旅馆，一公里路绕了一半天，下车还没放对地方，跟着导航走了几百米才到指定位置却没看见预定的旅馆，问了一下附近餐馆老板，老板说这个旅馆倒闭了，要我在他那吃完饭住他家旅馆，我说倒闭了我怎么还预定成功了，那老板又说那个旅馆是垃圾，我说已经订过了，老板给我指了条路说就在前面，黑灯瞎火的走了半天给旅馆打电话才发现路不对。超市门口写着内有厕所，进去问卫生间在哪里，营业员的行为举止表现的非常不爽，我算是服了这个鬼地方。,,,,,,
tHX964121982,519,5,2021.11.23,黄山风景区成人票,浙江诸暨来安徽黄山，太美啦太美啦！,,,,,,
Grt480637277,519,5,2021.11.27,黄山风景区成人票,不得不说，真的太美了,,,,,,
快乐老妈5525,519,5,2021.10.27,黄山风景区玉屏索道下行成人票,黄山太美了，雾松，云海，奇石，奇松，不愧称为五岳归来不看山，黄山归来不看岳。去过黄山的人还没离开就几乎都想着还要再次游览黄山！美团也很给力，在App上买门票钱，索道票都有很多优惠，尤其是经常做一些任务领的优惠券这时就可以派上用场，省了不少的银子，为美团点赞！,,,,,,
jdF67113449,519,4,2021.08.04,黄山风景区门票南大门成人票（云谷索道方向）,黄山确实不错，风景秀丽，值得一玩。我建议云谷寺上山，路比较平坦，如果走玉萍方向，路会很陡，一般人体力吃不消。云谷寺缆车是80元，很快能到始信峰，这里观赏性很强，值得一看，一步一景，跟着路标走，到猴子观海，再到西海大峡谷，景色真的很好，简直就是群山博物馆，沿着路引一直走到谷底，有观光小火车，买票可以坐到光明顶，一路景色尽收眼底，叹为观止，我没走到谷底，到一环就返回了，走到谷底太累。之后徒步上光明顶，路遇飞来石，看过就到光明顶了，很可惜我到光明顶12点左右，已经起了很大的雾，能见度低，什么都看不到了，光明顶有自助餐厅，比较贵，建议上山带自热饭，吃起来还挺方便，由于雾太大，到了熬鱼峰，坐了一下，一直下山，下山再下山，坡很陡，就到莲花峰脚下了，哇塞，然后就一直上山，上山，再上山，爬到了莲花峰顶，哇，这个地方太险峻，两边都是深不见底的悬崖，雾太大，但隐约可以看到玉屏和天都峰。原路下山会多走路，另一条路下山，有恐高症的或者害怕的人，建议还是原路下山吧，因为走这条路下山的，心惊肉跳 哈哈哈 下山能到迎客松，这样的话，行程就基本结束了，可以一天玩尽黄山风景。,,,,,,
水美汐,519,3,2021.10.06,黄山风景区门票南大门成人票（云谷索道方向）,节假日人超多，最好是提前把所有票据都买了，门票，索道票，接驳车票等提前买好，疫情所需的各种码也备好，路线提前规划好，穿舒适的衣服和鞋子，不要带太多东西，尽量轻装上阵，整个行程基本需要6、7小时左右，带太多东西会成为累赘,,,,,,
水美汐,519,3,2021.10.07,黄山风景区云谷上行索道票-成人票,我们是云谷索道上，玉屏索道下的，看图1，人超级超级多，从接驳车下来后，走一段走到下面去排队坐索道，离索道处很远就已经排起了长队，基本是里三层外三层上面还有两三层，这里排队大概排了有1个半小时，才终于排到上索道，一车里面装8个人，还算挺能装的，大概15分钟左右吧就到了，下去后开始漫长的爬山旅程,,,,,,
陈先生吧,519,3,2021.11.02,黄山风景区门票南大门成人票（云谷索道方向）,全程用脚爬上光明顶的，连吃饭四个半小时，膝盖超痛，谁爬谁知道建议自带点干粮和水，山上的价格不便宜,,,,,,
白纸扇666,519,5,2021.10.27,黄山风景区门票南大门云谷索道方向优待票（老人/学生票/儿童）,非常好玩，也非常累，山上的风景是真的漂亮，浓雾缭绕下，一山更比一山高的感觉实在是令人叫绝。很多地方也十分险峻，走在狭窄的路上，脚都有点软，才到山腰就有置身云海的味道，几乎可以平视看到飞机在远处飞行！山上的雾也时有时无，很绝！,,,,,,
xghvcg,519,3,2021.11.05,黄山风景区玉屏索道下行成人票,黄山回来不看山，此景只应天上有，黄山真的很美，我虽然是10月月底去的，但松树依旧变化不大，除了天气太好没看到云海，黄山的很多美景都看到了。 从云谷索道上山，从玉屏索道下山的，个人建议不要徒步下山，非常累，要好几个小时。,,,,,,
O会飞的鱼儿0,519,5,2021.11.21,黄山风景区云谷索道下行成人票,真的很美，这次来没有看到云海，下次还要再来,,,,,,
董小姐.呀！,519,5,2021.11.18,黄山风景区门票南大门成人票（云谷索道方向）,欢迎大伙来安徽，来黄山旅游，值得！,,,,,,
DtN930848850,519,5,2021.10.03,黄山风景区门票南大门成人票（云谷索道方向）,黄山世界上最美的山，没有之一！最美！黄山美不美 ，看腿，黄山太太太大了，好多美景可以说百分之95的人没有走过，美景绝美！是因为太大了，没有在山上住几天根本玩不过来，就一个西海大峡谷两条路走下去都是绝美风景，其中一条路走下去十几公里，路上没有游客，为啥！太长了走到谷底 ，风景绝美没有游客！,,,,,,
uav410182363,519,5,2021.10.17,黄山风景区门票南大门成人票（云谷索道方向）,黄山风景是真不错，绝对能对得起门票钱，这边不允许游客独自上山，需要做旅游中心的大巴上山，话说最好不要自己去，也不要想着自己一口气能爬到山顶，这个幻想有点不切实际，更不要想着坐缆车爬不了山，放心吧，黄山足够你爬的。,,,,,,
寻幽探秘寻友同乐,519,5,2021.10.05,黄山风景区成人票,早就知道黄山归来不看岳。这次坐高铁去到黄山北，第二天到黄山，由于不是节假日，人不是太多，导游讲解很到位人也帅。这天是晴天很好的天气适合爬山，一年中只有八十天这样的天气，运气不错。黄山自然风光那是没的说。看图吧,,,,,,
li.994269197,519,5,2021.10.20,黄山风景区门票南大门成人票（云谷索道方向）,还是不错，景色很壮观，【环境优美，【交通】便利【项目】多种多样【餐饮】附近徽菜馆的菜品真的有特色，味道真的不错，值得再去，「迎客松」肯定是必去的，不过实际去了其实看起来也就那样，没有太壮观的感觉，不过黄山山景才是绝美的,,,,,,
匿名用户,519,5,2021.11.21,黄山风景区成人票,太美了，受不了，运气很好，天气晴朗，人流很少，有机会还会再来的，,,,,,,
匿名用户,519,5,2021.09.29,黄山风景区门票南大门成人票（云谷索道方向）,天都峰不开放，黄山值得来早上7点酒店车免费送到集散中心，换上山的旅游大巴，再坐索道上山。下午5：30下山索道停止运行，要提前到达下山索道，否则过了点就得徒步下山。时间很紧，有的景点没看，一线天，迎客松都没去。大美河山，值得来！,,,,,,
qag376717465,519,4,2021.10.27,黄山风景区门票南大门成人票（云谷索道方向）,到门口直接刷身份证，不用再换门票，确实方便了很多。不过要头一天晚上11：00前预订，没用的话会直接自动退。住在山脚下，比较安静的地方，黄山风景区的风景那是没的说，太漂亮了，绝对值得来一趟。,,,,,,
yr悠然闲客,519,5,2021.11.06,黄山风景区成人票,累得值得，景色宜人不错。,,,,,,
Pho798,519,5,2021.11.03,黄山风景区成人票,目前国内去过的最棒的景区了。景区内的管理与服务也很棒。推荐白云宾馆，舒适温馨，自助餐也好吃！,,,,,,
ssteresa,519,5,2021.10.15,黄山风景区门票南大门成人票（云谷索道方向）,黄山是我去过最漂亮，玩的最开心的山，去年去了一次，今年十一长假又去了，去年是云谷索道上山，今年是玉屏索道，光明顶的黄昏很好看，西海大峡谷景色瑰丽，只不过两次都没能看到云海日出，因为没住山上。我去的时候山上气温不冷不热，景色宜人，温度舒适，真的很赞。,,,,,,
逸圃无名美业,519,5,2021.08.16,黄山风景区门票南大门成人票（玉屏索道方向）,黄山景色真不错，大门口有带好好开发一下，没有太多的词汇。没上山之前都挺失望了。整个景区惨淡经营，宾馆酒店基本都是关门的。大门口索道票没有包含在门票里还有点失望。98块钱买了单程的上去才发现物有所值，索道很远很高，穿过好几道云海，非常壮观。下山不建议徒步，我脚痛好几天。天气多变，随时都在下雨。能遇到晴空万里的日子估计一年没几天。照片都是半山拍的。山顶都是大雾什么也看不到。,,,,,,
o平凡,519,5,2021.10.24,黄山风景区门票南大门成人票（云谷索道方向）,好好，有机会在去，建议云谷寺步行上，慈光阁缆车下。全程一天足够了！,,,,,,
Wmn只若初见,519,3,2021.11.18,黄山风景区成人票,服务人员态度很好,索道也特别稳～,,,,,
o平凡,519,5,2021.10.24,黄山风景区门票南大门成人票（云谷索道方向）,很美，天下第一山，有机会再去，建议云谷寺步行上山，慈光阁坐索道下，一天时间够了。,,,,,,
匿名用户,519,1,2021.10.04,黄山风景区门票南大门成人票（云谷索道方向）,十月四号来的，人超级多，路上抬轿子的人还逼着走路的游客让路，让他们先过，里面的工作人员态度很差，路上还碰到有游客和工作人员吵架的，立体停车场外面写的小车一天80，我们停了8个半小时，收费85元，停车费真的超贵，也不方便，立体停车场四五层还没有电梯，还要爬楼梯上去，停车费还收那么贵，也没按规定收费，全程人挤人，排着队一步一步的向前挪，极差的一次体验,,,,,,
zerolp,519,5,2021.10.01,黄山风景区门票南大门成人票（云谷索道方向）,建议南门后山上 前山下 后山平缓 走起来一般般累 前山太陡峭了 好刺激 如果是前山上 不够刺激又太累 前山对恐高的人不太友好 不过就快到顶的那一段特别陡而已,,,,,,
ABr831013463,519,5,2021.11.01,黄山风景区门票南大门成人票（云谷索道方向）,景色很美 不是节假日去人不多 全程步行 很累体力不好的就不要这样了 看日出日落最好是光明顶,,,,,,
pQj901006248,519,3,2021.09.28,黄山风景区门票南大门成人票（云谷索道方向）,从后山爬到白鹅岭，一路走走停停，空气挺好。就是热了点。住在白鹅山庄，凌晨5点出门去光明顶看日出。从玉屏峰看了迎客松坐索道下来。一定要多带点水啊，方便面什么的就不用带了。没水给你泡。非要用的话5块钱一次。,,,,,,
Hachiko八公,519,4,2021.11.01,黄山风景区门票成人票（旺季）,环境优美，景色怡人,,,,,,
Izb758016712,519,5,2021.11.03,黄山风景区门票南大门成人票（云谷索道方向）,设施齐全，而且商业气息不重，值得你去！,,,,,,
yHh683869522,519,5,2021.10.25,黄山风景区成人票,第三次去黄山玩，风景依旧很美。现在疫情期间，要提前买票才能进，还好提前一天晚上买了票，不然白跑一趟了,,,,,,
LQp630015730,519,5,2021.10.02,黄山风景区成人票,第二次来，光明顶住一晚，上一次是大学，这一次是和第一次来的铁哥们聊聊未来也算重新回到梦的开始，下次有机会再过三年再来和铁子玩一次，星空送给你们，一个日出一个日落，一个月出,,,,,,
hAK207906709,519,5,2021.11.06,黄山风景区云谷上行索道票-成人票,很好，已经是第二次登山了，又有些变化，服务更周到，设施齐全，也安全，值得推荐！,,,,,,
YTF881582453,519,4,2021.11.16,黄山风景区成人票, ,,,,,,
郭秋艳.,519,3,2021.10.26,黄山风景区成人票,天然氧吧，好几年前来过黄山，现在时候比较先进，现在的话说是完备了，当天的人流还是比较多的,,,,,,
飘278,519,5,2021.10.26,黄山风景区门票南大门成人票（云谷索道方向）,风景可以，门票可以玩两天,,,,,,
BfL581853747,519,5,2021.08.14,黄山风景区玉屏索道上行 - 成人票,“五岳归来不看山，黄山归来不看岳，”作为国家5A级的风景名胜区，大美黄山名不虚传。来到山脚下，雄伟壮阔的山峦震撼人的心灵，先从南门乘玉屏索道上山到达玉屏站，上山后的第一感觉，山上真的好凉快，顺着山上台阶拾级而上步行一段路，来到玉屏楼，玉屏楼前有一广场，站满了游客，在附近可以看到了闻名遐迩的迎客松。光明顶，海拔1860米，一路上经过鳌鱼峰、一线天，其山险要、陡峭。站在鳌鱼峰上向远眺望，奇松怪石、无限风光尽收眼底，真有“不畏浮云遮望眼，自缘身在最高层”的心境。大约再爬两个小时终于到达光明顶。此光明顶非《倚天屠龙记》中的光明顶。看着眼前的美景，云雾缭绕，如梦似幻，能够真切地感受到“会当凌绝顶，一览众山小”的意境。从光明顶游玩结束，便准备下山，走到云谷索道站准备乘索道下山了。沿途可以看到电视剧《红楼梦》中的飞来石、连理松、各种嶙峋怪石，美不胜收。,,,,,,
魔鬼与猫,519,4,2021.10.02,黄山风景区云谷上行索道票-成人票,风景美如画，园区很大，避开高峰期，又要非常顺畅，随手一拍都是大片，就是便利店太少，休息驿站设施不全,,,,,,
另取壹个用户名,519,2,2021.10.14,黄山风景区太平索道上行票-成人票,虽然入门门票只要190，但是里面几个不得不坐的索道和如景区大巴加起来，门票人均700+，一天玩下来觉得并没有钱有所值，希望可以出个通票，免得到里面还得一站一站的排队、买票、排队、排队、排队，很影响心情，当然，风景还是不错的,,,,,,
Pho798,519,5,2021.11.03,黄山风景区玉屏索道下行成人票,好地方值得再来！,,,,,,
NtD659584032,519,5,2021.11.14,黄山风景区门票南大门成人票（玉屏索道方向）,运输车比较好，环境优美壮观，晴天去最好了,,,,,,
荒野求生的金丝猴,519,4,2021.10.12,黄山风景区门票南大门成人票（云谷索道方向）,安徽名山，来的时候天气还不错，爬了一个多小时开始下小雨，必备雨衣。这次爬到了莲花峰顶，感慨鬼斧神工的奇松怪石，还有许许多多为建设黄山奉献的工人，真的很不容易。,,,,,,
Vow697617127,519,5,2021.10.14,黄山风景区门票南大门成人票（云谷索道方向）,真的是不枉此行，黄山的景色太美了，我们从后山坐的云谷索道上山,,,,,,
LCX562100461,519,1,2021.10.04,黄山风景区门票南大门成人票（云谷索道方向）,没来过黄山之前，那么多人吹嘘黄山归来不看岳，简直就是胡说八道！第一点、进山之前坐接驳车，居然绕了差不多1.5KM，坐索道又排队绕差不多1.5km，时间和耐心在上山前基本被消耗掉。第二点、全程景色，除了松树奇特，真看不出有什么看点，光秃秃的花岗岩，晒死个人；如果与张家界相比，差远了！第三点、黄山景区这个地方，所有的商品与服务价格相比其它地方的景区，要高处很多，还没有服务，体现的尽是奸诈！住宿经常是货不对板、吃是问价不写单的话，结账就是另一个高价、商超基本是挂羊头卖狗肉，大部分不标价，在一个这么大的镇上，价格高的离谱。总结：此生再也不会到黄山，也不会推荐亲朋好友！,,,,,,
我的沺晞,519,5,2021.07.26,黄山风景区玉屏索道上行 - 成人票, ,,,,,,
SCt205046892,519,5,2021.10.18,黄山风景区门票南大门成人票（云谷索道方向）,大美黄山，人间仙境！,,,,,,
SCt205046892,519,5,2021.10.18,黄山风景区门票南大门成人票（云谷索道方向）,大美黄山，人间仙境！,,,,,,
spi835330835,519,5,2021.11.10,黄山风景区门票南大门成人票（云谷索道方向）,风景很美，唯一遗憾的是没看到云海。,,,,,,
cAz498479472,519,1,2021.10.28,黄山风景区门票南大门成人票（云谷索道方向）,工作人员少，服务态度也不好，很不耐烦！路标不清晰，很容易走错路。各项收费贵，不建议,,,,,,
匿名用户,519,5,2021.11.30,黄山风景区云谷索道上行成人票,景好，服务，设备也配套成熟，安全到位，400块套餐还是物有所值的，就是关节到现在还痛，只敢走平路……,,,,,,
匿名用户,519,5,2021.09.21,黄山风景区门票南大门成人票（云谷索道方向）,奇松、怪石、云海（天气太好，所以没看到）、温泉（没去泡），下索道的时候，店员还送了一块巧克力味的奇松饼干做纪念，哈哈哈哈哈，已经入了肚子了，味道还不错。推荐缆车上下山，毕竟徒步走太累了，适合体力好的人。看到很多挑夫，挑着两百斤重的蔬菜水果上山，去白云宾馆……感觉以后一定要尊重他们的劳动，在上面吃饭，不要随意浪费，毕竟食材是人家辛苦挑上来的。,,,,,,
pika酱瓜,519,5,2021.10.08,黄山风景区玉屏索道上行 - 成人票, ,,,,,,
ZYx613931255,519,1,2021.11.28,黄山风景区门票南大门玉屏索道方向优待票（老人/学生/儿童）,我真吐了，买的学生票拿了学生证去的，检票的时候那检票员不认学生证不让进，身份证已经刷过了不让进票也退不了，真吐了，非常不愉快的一次体验，,,,,,,
会飞翔的过客,519,5,2021.11.06,黄山风景区门票南大门成人票（云谷索道方向）,黄山归来不看岳,,,,,,
