id,价格,评价,评价日期,票务类型,评论,
nsG783709910,165,2,2021.11.03,兰州极地海洋世界门票成人票,就是海洋生物比较少，空间也小，没啥可玩的,
匿名用户,165,2,2021.10.06,兰州极地海洋世界门票成人票,没想象中那么惊喜，水母应该算是最佳吧,
羊好,165,3,2021.10.04,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,还不错，就喜欢那个美人鱼表演，挺喜欢的,
艾米的米朵,165,4,2021.11.21,兰州极地海洋世界门票成人票,带孩子玩挺好,
匿名用户,165,3,2021.09.08,兰州极地海洋世界门票大学生票,140票价有点贵，美人鱼表演不错，海豹活泼，只看到一只企鹅。,
随风飘落的泪花,165,5,2021.11.13,兰州极地海洋世界门票成人票,跟女朋友去的，现在已经是我的老婆了，感谢这个神奇的地方。,
匿名用户,165,3,2021.11.19,兰州极地海洋世界门票成人票,还可以种类多，小孩去特别开心，，，，，，，，,
超摇滚的大叔,165,3,2021.11.19,兰州极地海洋世界女神节门票女士票,还可以 不是特别大 主要是小孩喜欢,
星空下的回望,165,1,2021.11.21,兰州极地海洋世界门票成人票,真心划不来，感觉里面就没有什么。,
刘育夆,165,5,2021.11.19,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票, ,
WQE881618858,165,5,2021.11.19,兰州极地海洋世界门票大学生票,很不错哦，很好玩儿，最好是带女朋友一起去,
刘育夆,165,5,2021.11.19,兰州极地海洋世界门票成人票, ,
考拉的男人,165,3,2021.11.17,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,个人感觉还可以，空间再大点就到位了,
Nmk312301092,165,1,2021.10.12,兰州极地海洋世界门票成人票,设施破旧，在底下负一层，空气不流通，里面味道不好闻，也没有出口入口的标识牌，里面的海洋生物特别少，这是我去过最差的一个海洋馆，里面小孩玩的挖沙还有额外消费，不建议购买！游玩体验不好！,
wt070911,165,2,2021.11.15,兰州极地海洋世界门票成人票,一般般，没有惊喜。感觉图片有点夸张了，幅度太大。,
KGd438826884,165,3,2021.11.15,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,还可以吧，谈不上很好，也谈不上不好，暑假没地方去,
KGd438826884,165,3,2021.11.15,兰州极地海洋世界门票成人票,没有想象的好，但是也没什么好玩的地方了啊,
yzm811604,165,3,2021.11.14,兰州极地海洋世界门票成人票,离别的心情，跟将要分开的人一块去的。都没怎么好好观看,
rWJ168923120,165,3,2021.09.08,兰州极地海洋世界门票成人票,美人鱼表演不错，其他的海洋动物数量不太多。,
KxO563845496,165,5,2021.10.05,兰州极地海洋世界门票成人票,很漂亮，孩子开心的不得了。大家可以去体验,
FBc456695035,165,2,2021.11.14,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,去的时候大多项目都关了，而且就进去半小时，没转完都,
gfi311667086,165,2,2021.11.15,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,60分，有点贵。感觉不是很值！！有的景点还在施工,
蟲蟲孖,165,4,2021.11.16,兰州极地海洋世界门票成人票,环境挺好的,
JEM716963450,165,1,2021.10.03,兰州极地海洋世界门票成人票,真的不值，乱哄哄的，什么都没有，设施又陈旧！谁去谁后悔！服务态度也真是绝了，门口的保安真的比你爸还厉害，吼你那都不算啥，停车费如果不收现金，好好说不可以么，凶的要死，要了停车发票，保安告诉我没有，还是一样凶的一批，这种地方说没有发票合适么？,
Rwh545565147,165,3,2021.11.15,兰州极地海洋世界门票成人票,还不错，里边很多动物，推荐水母区,
gfi311667086,165,2,2021.11.15,兰州极地海洋世界门票成人票,60分，感觉票价还是有点贵，140不是很值。,
Wzn345037562,165,5,2021.11.18,兰州极地海洋世界门票成人票,环境很好,
匿名用户,165,2,2021.11.06,兰州极地海洋世界门票成人票,超级一般，说实话只适合小孩子去看，超过小学的去了都会觉得没啥意思，骗人的一样。,
Iqe986748946,165,4,2021.10.15,兰州极地海洋世界门票成人票,带孩子和母亲来的，母亲说门票太贵，可是再贵我都愿意带她们来看一下，孩子感受很深，我也是很难忘这次旅行，有生之年，我希望带父母和孩子去全国各地旅游，现在正在努力！,
狼行天下700,165,3,2021.11.07,兰州极地海洋世界门票成人票,看到评价还不错就来了，确实跟大家夸的没有出入，希望继续保持噢看到评价还不错就来了。,
匿名用户,165,1,2021.10.24,兰州极地海洋世界门票成人票,去了现场跟宣传和照片推广的根本就不是一个档次的，忽悠人拍照，真的是与140元的门票匹配不到一起，很失望，感觉钱花得很冤枉,
音恋花,165,3,2021.11.11,兰州极地海洋世界门票成人票,还不错，就是有部分区域去的时候在装修，没看到,
匿名用户,165,1,2021.10.18,兰州极地海洋世界门票成人票,里面一大部分装修，能看的地方很少，70块一个人的票价没有性价比，还有部分淡水鱼，花鱼市场就能看到，人鱼表演只有一个人，企鹅只有一只，来了很多次，这是感觉最差的一次。,
王炸脑瓜子嗡嗡的,165,3,2021.11.06,兰州极地海洋世界门票成人票,没有以前的好了，无论是节目还是动物种类！设施也老旧厉害,
Hti824088881,165,1,2021.11.14,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,去了正在装修，里面也没啥意思。。,
匿名用户,165,2,2021.10.01,兰州极地海洋世界门票成人票,140元真的不值，什么都没有就简单几个水母和鱼。男美人鱼就时间特别短就回去了,
Hti824088881,165,1,2021.11.14,兰州极地海洋世界门票成人票,去了里面正在装修，没啥意思。。,
aYZ600289879,165,2,2021.11.08,兰州极地海洋世界门票成人票,我们去的时候正在装修，好多都没有参观上，有点儿小失望,
xIc406377629,165,3,2021.11.09,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,需要改造，现在人越来越少了，还是祝生意兴隆,
kOU920350396,165,1,2021.10.02,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,垃圾，喂海狮，20元就一条小鱼分成四段。10元喂锦鲤，有些奶瓶里没有鱼食，服务态度特别恶劣。比大名城差多了！一点不值！黑乎乎的，体验一点不好。美人鱼表演，人全部一拥而上，根本看不见，厕所又黑又脏。,
PUk278657674,165,2,2021.11.09,兰州极地海洋世界门票成人票,设施还不错，服务非常周到，环境也不错，,
匿名用户,165,1,2021.10.28,兰州极地海洋世界门票成人票,70就进去转了一圈不到两分钟全走完  后悔死了  两个大人买了票  我老公走了一圈门口坐着去等我们了  太不划算了,
匿名用户,165,3,2021.11.04,兰州极地海洋世界门票成人票,兰州极地海洋世界仍需努力改善娱乐项目，增加互动体验式项目,
匿名用户,165,5,2021.09.02,兰州极地海洋世界门票成人票,没有白来，动物们都很机灵可爱，推荐大家前往！,
陈晨6092,165,3,2021.11.10,兰州极地海洋世界门票成人票,还可以吧！呵呵呵呵，下次反正我是不去了。,
匿名用户,165,2,2021.11.05,兰州极地海洋世界门票成人票,环境一般，「梦幻水母区」，味道有点大,
野狼麦克,165,3,2021.11.04,兰州极地海洋世界门票成人票,可以，带孩子去玩，很满意，推荐，价格还可以,
匿名用户,165,1,2021.10.24,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,纯属浪费钱没有一点意思，脏乱差，还用的是很久以前的老套路免费拍超出口拿照片又要钱,
hqd5208,165,2,2021.11.04,兰州极地海洋世界门票成人票,没有想的那么好，不会再去了，不值得,
mKP580358036,165,3,2021.11.05,兰州极地海洋世界门票成人票,一般，也可以去一下，价格有些高,
duC189199243,165,3,2021.10.16,兰州极地海洋世界门票成人票,里面有一部分是宠物，自己也有养过。再就是那些狐狸呀，猴子呀，看着看着吧，就觉得大自然森林才是它们的家园。在笼子里，它们那种无奈，看着心酸。,
三只企鹅123,165,5,2021.11.07,兰州极地海洋世界门票成人票,很有意思，建议带孩子去看看！,
RDp197780158,165,2,2021.10.03,兰州极地海洋世界门票成人票,里面不大，一个小时可以转完，就海狮表演可以看一会，,
kOU920350396,165,1,2021.10.02,兰州极地海洋世界门票成人票,差评！里面腥臭，肮脏。服务态度特别恶劣，不建议。厕所又黑又臭。骗钱的。海龟的水上一层油腻的脏东西。海狮的地方一股腥臭味，20元喂一次，就一条小鱼剁了几段。垃圾。,
Jbb666513524,165,3,2021.11.04,兰州极地海洋世界门票成人票,带妈妈和儿子去的，妈妈觉得也不是错,
OVN715106369,165,5,2021.11.02,兰州极地海洋世界门票成人票,有宝宝的真的建议去看看。孩子会很喜欢的,
爱喝酸奶的蓝莓,165,4,2021.08.15,兰州极地海洋世界金榜题名双一流（学生两人门票）,还可以，美团的价格比较良心，里面有美人鱼表演还有一个什么表演来着忘记了，因为错过了没有赶上，里面动物还是挺多的，地方也挺大，就一直走一直拍照，浪了一个下午，和好朋友以前去的，个人觉得还OK啦。值得去一趟哦,
TYH843646037,165,2,2021.11.01,兰州极地海洋世界女神节门票女士票,一点也不好，什么也没有，带娃去啥也看不上,
孑立00,165,3,2021.09.22,兰州极地海洋世界门票成人票,总体来说还可以，适合带小朋友来,
Hvx145539605,165,3,2021.10.24,兰州极地海洋世界门票亲子（1大1小）票,小孩子们的天堂，大人去实现是没什么意思、去那种地方主要是为了小孩,
rKK251586965,165,4,2021.11.02,兰州极地海洋世界成人票,挺好的，就是票价高点,
匿名用户,165,5,2021.11.02,兰州极地海洋世界门票成人票,好评,
匿名用户,165,5,2021.11.02,兰州极地海洋世界门票成人票,好评,
DK安先生,165,4,2021.11.01,兰州极地海洋世界女神节门票女士票,有机会一定要去看看海底世界,
匿名用户,165,3,2021.10.25,兰州极地海洋世界门票成人票,很不错    进去孩子玩的很开心   就是里面没有自助饮料机,
银花镯,165,2,2021.10.04,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,节目太少，尤其冰河世纪区啥都没有，光走了一个过道，没看到企鹅，卫生很差，到处是垃圾。不过水母区还是很不错的。希望能得到改善。,
匿名用户,165,4,2021.11.01,兰州极地海洋世界门票成人票,适合小朋友们去探索,
boy2006yh,165,3,2021.09.26,兰州极地海洋世界门票成人票,去的时候正在装修，动物有点少，交通还算便利,
AFz263934370,165,3,2021.11.01,兰州极地海洋世界门票成人票, ,
米米米ggv,165,2,2021.10.26,兰州极地海洋世界门票成人票,小，不是很好玩，设备很老，没啥意思,
bMA106811474,165,2,2021.10.24,兰州极地海洋世界门票成人票,门票有点贵，性价比不高，其他还好吧,
tDJ868552734,165,3,2021.10.25,兰州极地海洋世界门票成人票,【环境】【交通】【项目】【餐饮】「热带海洋区」,
hHn149139005,165,2,2021.10.26,兰州极地海洋世界门票成人票,感觉一般吧，出门还不好打车，。还，，，,
方得之音,165,3,2021.10.22,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,姐，驾驶去的，去的时候人山人海，非常拥挤，里面的东西还可以吧！,
Bjd537515541,165,1,2021.10.21,兰州极地海洋世界门票成人票,不是想象中的好，环境各方面一般，有一段还在维修，失望,
Man248802991,165,4,2021.10.23,兰州极地海洋世界儿童/学生/老人/军人/残疾人票门票,总体很漂亮，是个令人放松的地方,
liumeilan18,165,3,2021.10.20,兰州极地海洋世界门票成人票,还可以，孩子比较喜欢。因为是假期，人太多，有些闷热,
zzE395141593,165,3,2021.07.02,兰州极地海洋世界门票成人票,整体不错，去的时候赶上有一项维护装修，也不影响我感受那十几米的海洋馆玻璃通道，毕竟第一次身临其境，不惊喜也不失落，主要孩子们很开心，有好多没照片。如果是陪孩子，老人还是不错的景区，里面有吃饭的地方，还有额外的表演节目，有动物零距离照相。,
晓晓的人儿,165,2,2021.10.04,兰州极地海洋世界门票成人票,【项目】太少    等了好久都没有人鱼表演   太坑   而且一半都是游戏厅之类的【环境】还行【交通】方便不推荐,
逍遥小坚坚,165,3,2021.10.23,兰州极地海洋世界门票成人票,还行。总体凑合，就是价钱再透明点。,
只求一份安定559,165,3,2021.10.25,兰州极地海洋世界门票成人票,还不错，宝宝玩的很开心，！！！！！,
一切向好676,165,3,2021.10.16,兰州极地海洋世界门票成人票,检票口拍照都不要拍了，不是免费的，出来取相片的时候要20块钱，直接选择不拍就行,
晴天0208_wo,165,3,2021.10.15,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,挺好，带着两宝贝去的，孩子们很新奇，海洋物种也丰富,
fXt363929580,165,1,2021.10.01,兰州极地海洋世界门票成人票,不建议去140元，什么没有时间太短一小时完事,
殇染漠,165,2,2021.10.19,兰州极地海洋世界门票成人票,去了一次你就在不会想要再去 也就是一锤子买卖,
zyzy九月,165,3,2021.10.22,兰州极地海洋世界门票成人票,周边游，出行方便便利设施齐全！,
温柔的冲动,165,5,2021.10.21,兰州极地海洋世界门票成人票,好评，不错，值得推荐，强烈推荐,
海涛91889,165,3,2021.10.15,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,挺好的，大西北搞了个这玩意。就是下面比较冷。小孩子要注意。,
rgF216943937,165,3,2021.10.21,兰州极地海洋世界大学生专属票,【环境】【交通】【项目】【餐饮】【项目】【交通】,
匿名用户,165,3,2021.10.18,兰州极地海洋世界女神节门票女士票,还可以，里面环境和空气质量指数很不错,
匿名用户,165,2,2021.10.17,兰州极地海洋世界门票成人票,一般 生物也少一般一般一般一般一般一般一般,
匿名用户,165,3,2021.10.18,兰州极地海洋世界门票成人票,设施完善，适合各个年龄阶段的朋友们加入,
丶张小明,165,2,2021.10.13,兰州极地海洋世界门票成人票,真的很一般，不算差，不值得专门跑一趟，实在闲得无聊可以来一次,
匿名用户,165,1,2021.10.17,兰州极地海洋世界门票成人票,太糟糕了，还没到时间工作人员就一直催促你离开。,
团团吧2011,165,4,2021.10.19,兰州极地海洋世界门票成人票,非常棒，去的人很多,
匿名用户,165,3,2021.10.22,兰州极地海洋世界门票成人票,还行12345678901234567890,
G小苮,165,3,2021.10.15,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,地方小价位高这就是我的总体感觉,
LnV548508732,165,4,2021.06.30,兰州极地海洋世界门票成人票, ,
tLF946431389,165,3,2021.10.20,兰州极地海洋世界门票成人票, ,
uht556148634,165,3,2021.10.17,兰州极地海洋世界儿童/学生/老人/军人/残疾人票门票,服务态度很好，环境不错不错，值得去哪里看看。,
VWq590265588,165,3,2021.10.15,兰州极地海洋世界门票成人票,去的时候正在装修，场馆还是小一些，还不错吧！,
Hmz225133102,165,3,2021.10.15,兰州极地海洋世界门票成人票,整体还可以吧，就是门票有点贵，希望门票能稍微降下,
LoS811431019,165,4,2021.10.02,兰州极地海洋世界门票成人票,环境不错，就是人太多了，看个美人鱼表演，差点挤掉我半条命，不是节假日的时候可以带孩子去，适合小孩子,
VNJ535441553,165,3,2021.10.15,兰州极地海洋世界门票成人票,入园前均可购买,服务很好，项目也多，孩子玩的很开心，对这次活动很满意
Oyu209980636,165,5,2021.08.30,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,很不错，带孩子们去玩的，美人鱼表演好美，很值得去看，,
OhV985987617,165,1,2021.10.03,兰州极地海洋世界门票成人票,体验感极差，里面不通气，特别难受！没法和西安曲江海洋公园比。但是票价和曲江的差不多！不值得一去！,
麦洛条,165,3,2021.10.18,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,体验还可以吧，总之去过两次了！还是不错！,
G小苮,165,3,2021.10.15,兰州极地海洋世界门票成人票,还好吧，实话实说就是地方小价位高,
HHV113195145,165,5,2021.10.11,兰州极地海洋世界门票成人票,只有我一个觉得zzy的哭戏很是尴尬吗？吴京的内心戏太棒了，也很感动。,
wht520lb,165,2,2021.10.16,兰州极地海洋世界门票成人票,里面很小，没有什么可看的，一般般。,
小豹脾气MT,165,3,2021.10.17,兰州极地海洋世界门票成人票,带上孩子去玩挺不错的   周末可以领上去,
沐沐吃巴掌,165,2,2021.10.14,兰州极地海洋世界门票成人票,就那样，挺小的，我觉得还不如去兰州中心看那里的免费的呢,
QyX105910233,165,3,2021.07.28,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票, ,
匿名用户,165,3,2021.10.16,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,检票口拍照都不要拍，免费的是没有背景的，有背景的20块，,
lYP244085683,165,2,2021.09.11,兰州极地海洋世界门票成人票,感觉很一般，票价还很贵，北极绒，海豚都是假的，工作人员的服务态度很差，感觉就牛的，最可笑的是极地海洋世界，把猴子，黄金蟒蛇，鹦鹉等等的都搞来了。肯定不会来第二次。,
fWC230714266,165,3,2021.10.16,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,服务质量好，态度热情，值得推荐。谢谢啦！,
uht556148634,165,4,2021.10.17,兰州极地海洋世界门票医护人员免费票,好好好，值得游玩一天，不去会后悔的，玩的开心,
贺欣月,165,3,2021.10.09,兰州极地海洋世界门票成人票,还行吧 就是去的时候人太多了 里面的小零食卖的有点贵 其他都还好,
自由自在337,165,3,2021.09.11,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,带孩子去玩的，感觉还可以，里面挺干净的，电脑合成海洋馆照相的其实可以说清楚，带孩子多数人都愿意给孩子留个纪念，没必要照完了再说要钱，这个顺序很重要！提前告知！,
xtl210266548,165,1,2021.10.14,兰州极地海洋世界门票成人票,太小了，没有海豚，就几条鱼，没意思，太贵了,
jKu817990736,165,1,2021.10.06,兰州极地海洋世界门票成人票,别的都不说了，服务态度特别差，小孩玩沙区域卖烤肠的小伙特别牛逼，服务态度特别恶劣,
rgO914549727,165,2,2021.10.12,兰州极地海洋世界门票成人票,里面鲨鱼太小了，一般般吧！个人感觉没意思,
yyz969,165,3,2021.10.13,兰州极地海洋世界亲子门票（1大1小票）,还不错，不大，带孩子可以看看……,
Lg同学,165,2,2021.10.05,兰州极地海洋世界门票成人票,天水专程过来的，地方太小了，鱼的种类太少，跟西安的没法比，表演也没西安的好看！,
yMi473793424,165,4,2021.10.18,兰州极地海洋世界门票成人票,满意好玩,
匿名用户,165,2,2021.10.10,兰州极地海洋世界门票成人票,140的门票，就看了10分钟的人学表演，确实越来越不行了,
anranxiaomei,165,3,2021.09.11,兰州极地海洋世界门票成人票,能让孩子感受到海洋动物的奇妙，还不错的选择！,
匿名用户,165,1,2021.10.08,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,我们去的时候感觉没什么好看的，门票还比较贵,
静默167,165,2,2021.10.05,兰州极地海洋世界门票成人票,多数都是消费的，除了美人鱼，再没啥亮点，海豚，海狮那些都没有，等表演要等很久,
匿名用户,165,2,2021.09.20,兰州极地海洋世界门票成人票,地方太小了，设施简陋，在这样小的环境里面动物们还能养的这么好真的不容易，没看过海洋生育的可以去体验。去过大地方的就不推荐了。,
少爷1034,165,2,2021.10.13,兰州极地海洋世界门票成人票,设施可以，服务一般，整体感觉一般！,
Eva丶良人,165,3,2021.10.14,兰州极地海洋世界门票成人票,总体还行吧，总体来说还可以吧！,
可可爱爱王甜甜,165,5,2021.09.27,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,孩子喂小鸟非常开心,
UFd318786968,165,5,2021.10.17,兰州极地海洋世界门票成人票,不错,
匿名用户,165,3,2021.10.10,兰州极地海洋世界门票成人票,水母区，热带海洋区，海狮表演都不错,
zJs758595269,165,1,2021.09.21,兰州极地海洋世界门票成人票,140的票价真的是骗钱的吧 20块钱我都嫌贵 全程无看点 感觉像是建在小区里的一个小作坊 还敢叫极地海洋世界？哪里来的勇气？,
NlX550833046,165,2,2021.10.09,兰州极地海洋世界成人票,就是个坑，照相比较贵，地方不是很大，海豚表演不错。,
我们在一起就是爱,165,3,2021.10.06,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,带小孩她们喜欢就行，大人觉得不怎么样，太小了美人鱼表演的不怎么样,
匿名用户,165,4,2021.10.15,兰州极地海洋世界门票成人票,孩子玩的很开心,
匿名用户,165,4,2021.10.15,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,孩子玩的很开心,
FtL485677789,165,3,2021.08.26,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,看到蟒蛇以后 回来做了一晚上的梦,
HRl730960863,165,3,2021.10.14,兰州极地海洋世界门票成人票,对于第一次去的人还是可以的，。。。。。。。。,
