id,价格,评价,评价日期,票务类型,评论,
是惠惠惠吖,418,5,2021.05.19,张家界核心景区武陵源（儿童/老人/学生）4日票, ,
brookliao,418,5,2021.07.28,张家界核心景区武陵源门票北门（天子山门票站）（成人票）（11:30-17:00）,来张家界不看这风景白来了呢，还是很值得的，要2天才能玩的全一些，建议从天子山门票站这边进去，山上玩一天，山下玩一天，有时间的话玩三天更好，不会那么赶，天下第一桥和乾坤柱必看哈，御笔峰也不错，多看看不一样的风景哦，值得走一趟,
Sl110120119,418,5,2021.07.14,张家界核心景区武陵源门票西门（杨家界门票站）（成人票）（8:30-9:30）, ,
rWp587956740,418,5,2021.10.19,张家界核心景区武陵源（张家界国家森林公园）4日通票成人票,挺好,
OJZ313167945,418,1,2021.10.14,张家界国家森林公园-武陵源四日+环保车成人票,买了票进不去，美团没有进入景区的系统,
匿名用户,418,1,2021.10.04,None,打电话咨询景区有没有提供开水  客服态度超级恶劣  一个5a级景区实在垃圾！！,
青春小伙长痘痘,418,2,2021.09.30,张家界国家森林公园-武陵源4日成人票,太一般了   不建议去   旅游景点也就去一次  第二次给我钱都不想去   不过当地的人民还是挺友好的,
OJZ313167945,418,1,2021.10.14,张家界国家森林公园-武陵源四日+环保车成人票,美团系统与景区不同步，进不来景区,
Girl阳阳,418,4,2021.07.26,张家界核心景区武陵源（儿童/老人/学生）4日票,景区还是比较让人震撼的，景区里非常的大，完全看完是要两三天时间的，但是我们通过一天的时间就转完了，核心景区在武陵源这个地方，让人感觉到非常的放松环境，非常的好，是一个大大的天然氧吧，推荐大家可以有时间过来玩呢,
兔青青,418,3,2021.10.06,张家界核心景区武陵源（张家界国家森林公园）4日通票成人票,金鞭溪的猴子们太可爱了，一天当中去了几次，很好玩,
宁love婷,418,3,2021.10.04,张家界国家森林公园-武陵源4日成人票,景色很美，这个十一黄金周太适合去张家界了,
匿名用户,418,1,2021.10.07,张家界核心景区武陵源4日门票成人票+导游讲解服务,导游安排不合理，不专业，去了天子山没有去杨家界,
第七1220,418,2,2021.10.10,张家界核心景区武陵源4日门票成人票(吴家峪入口),没有什么好玩的 不是很推荐 一颗星,
zRK367970517,418,5,2021.05.23,张家界核心景区武陵源（儿童/老人/学生）4日票,堪称天下奇山。我们运气也不错，第一天走山上的线是晴天，第二天走山下的线下雨起了雾，两种风光都有所领略。景区虽然很大但是景点之间都有摆渡车，非常方便！下山也有索道可以坐，一路下来拨云穿雾近距离观赏奇山。晴天的时候可以看到山峦叠翠怪石耸立，雨时则雾气升腾宛如仙境（看山还是要挑晴天）。最喜欢的景点是袁家界和金鞭溪，用心拍了好多照片。大自然的造化真的好神奇，袁家界是从高处往下看山，但是金鞭溪是从山峦之间穿过，全程走下来大概两个半小时，比起袁家界更有体验感，仿佛行走在侏罗纪世纪，看到很多旅行团只让游客体验一下，个人推荐大家完整走下来，太美了，处处是壮丽诡奇的风景，照片拍不出来。,
mYo379040737,418,5,2021.06.13,张家界核心景区武陵源（儿童/老人/学生）4日票,景区非常大，大多数景点之间都有环保车接送。百龙天梯还有索道什么的都要另外付费。一般安排两天的行程，大部分景点都能玩到了。建议提前看好天气，天气不好的话，在天子山那里什么都看不见，非常影响体验感。门票是四天的，时间充足的话可以体验一下步行上下山，会比较累，但是也能看到很多不一样的景色。,
EvaloveleleX,418,3,2021.10.04,张家界核心景区武陵源4日门票成人票(吴家峪入口),还不错，风景怡人，绿荫很多，适合徒步,
人生心情最重要,418,5,2021.10.04,张家界核心景区武陵源（张家界国家森林公园）4日成人票,请至少提前1天的23点59分前购买,我去过的最好玩的地方，以后一定还会去的！
珠姐爱吃洋柿子,418,4,2021.07.10,张家界核心景区武陵源门票东门（吴家峪门票站）（成人票）（7:30-8:30）, ,
不回头hh,418,4,2021.09.06,张家界核心景区武陵源4日门票成人票(吴家峪入口),地方太大的，去了几个主要的景点，两天时间差不多，但是很累。去之前一定要做好攻略，要不然两天时间是不够的。主要推介金鞭溪，跟袁家界吧，别的地方有时间线也可以去看看。,
菠萝花花861,418,4,2021.06.27,张家界核心景区武陵源门票西门（杨家界门票站）（成人票）（11:30-17:00）,五一和朋友在武陵源玩了两天，定的民宿就在景区里面，老板人很好还给我们出攻略画地图，第一天一直在下大雨，我们两个人穿着雨衣带着鞋套步行爬上黄石寨，雾太大没有看到什么景色，不过也算是没有过的经历，第二天天晴了我们坐索道上天子山，五一期间人不算多，该逛的都逛遍了，总体来说很不错，风景很美,
xfezhou,418,5,2021.08.02,张家界核心景区武陵源门票南门（森林公园门票站）（成人票）（7:30-8:30）,非常好    张家界森林公园的山独具特色，因为西游记 因为阿凡达名扬全世界，,
匿名用户,418,2,2021.08.02,张家界国家森林公园-武陵源4日成人票,门票价格贵，里面小吃贵，什么都要收费，风景不错，就是很费钱,
Tzt772532470,418,3,2021.08.08,张家界核心景区武陵源（张家界国家森林公园）4日票（儿童/老人/学生票）,感觉景区设施成熟，非常喜欢，没有遇到什么糟心事。就是回来以后，由于疫情隔离14天。,
匿名用户,418,2,2021.09.26,张家界核心景区武陵源（儿童/老人/学生）4日票,售票员像是游客欠她钱一样，态度究极恶劣,
Yje178760610,418,1,2021.09.24,张家界国家森林公园（4日票）+土家风情园成人票,这就是个坑，美团的门票竞然比实地去买贵一半,
kNX706494085,418,5,2021.09.28,张家界核心景区武陵源4日门票成人票+导游讲解服务,导游非常周到，负责，很棒,
ckE386204390,418,1,2021.09.23,张家界核心景区武陵源4日成人票+100元表演代金券,不要在这买票，是个坑，景点直接买还只要半价116元,
匿名用户,418,1,2021.08.06,None,从一下高速就是满满的套路，本地人全是骗子，去景点以后又骗你花钱买索道票，一个人下来起码花了2000，全程体验感全无，还带你去消费，住的地方基本洗漱用品无，吃的东西腌菜当一盘菜那种，令人恶心至极。从此在也不来张家界，一个土匪窝。,
Honeyxiaoping,418,3,2021.09.21,张家界国家森林公园（4日票）+土家风情园成人票,风景还可以吧，走路挺累的，疫情人不多。,
LEA920186676,418,4,2021.06.24,张家界核心景区武陵源（儿童/老人/学生）4日票,购票方便快捷，到大门直接刷身份证就可以进，里面要做环保车，各个景区距离都很远，风景秀丽，奇特的山石地貌，吸引着很多游客,
狼人杀小仙女,418,5,2021.09.22,张家界核心景区武陵源（张家界国家森林公园）4日通票成人票,好,
狼人杀小仙女,418,5,2021.09.22,张家界核心景区武陵源（张家界国家森林公园）四日通票儿童/学生/老人票,好,
心不说话,418,2,2021.09.19,张家界核心景区武陵源门票东门（吴家峪门票站）（成人票）（8:30-9:30）,风景还不错！门票消费有点小贵！,
enpan20088,418,4,2021.05.03,张家界国家森林公园-武陵源四日+环保车成人票,奇山很是震撼，感觉在山里空气都有植被的味道，恨不得多吸点新鲜空气。建议森林公园玩两天，山上一天：从天子山坐索道上山，索道上看天子山很是壮观，美的让人窒息，然后环保车到杨家界—再乘环保车到袁家界，杨家界一步登天很漂亮不过要爬山路，还有垂直90度的铁梯才能上去，老年人和小孩可能走不动。第二天游山下金鞭溪和十里画廊。可以从森林公园大门进入延金鞭溪走7公里到水绕四方，然后车乘环保车到十里画廊，金鞭溪到水绕四方只能步行没有环保车都，出行前一定要做好规划！节假日早起进景点没怎么排队。,
匿名用户,418,2,2021.09.14,张家界核心景区武陵源四日通票成人票（地推票）,环境不错，【交通】一般【餐饮】贵,
AWe469543082,418,5,2021.07.05,张家界核心景区武陵源4日成人票(张家界国家森林公园),运气还算不错，下午的时候雾散去了一点，能看见一些风景，要不然就尽做小车了，猴子实在是太厉害了，奇怪，为什么猴子不抢山上商饭的！,
S.安妮,418,5,2021.08.12,张家界核心景区武陵源4日成人票(张家界国家森林公园),非常好的景色，纯爬上爬下，所以很累,
PpM133207323,418,5,2021.09.15,张家界核心景区武陵源4日成人票+导游讲解服务,朱导服务不错，下次再来订票,
SIA915164656,418,4,2021.09.17,张家界核心景区武陵源4日门票成人票(吴家峪入口),可以,
EtM416381339,418,3,2021.09.11,张家界核心景区武陵源4日成人票(张家界国家森林公园),风景可以的，交通便利。有机会再回去的。,
RPz223217322,418,4,2021.09.06,张家界核心景区武陵源4日门票成人票(吴家峪入口),玩了两天，票四天内有效，和老爸一起出来玩的很开心,
qwg409456014,418,5,2021.05.29,张家界核心景区武陵源（儿童/老人/学生）4日票,嘿嘿，不怕骄傲。我应该是最充实玩武陵源的人了，分享一下我的行程。第一天，十里画廊—徒步天子山—贺龙公园—丁香榕—云中田园—杨家界—一步登天—袁家界—阿凡达，天下第一桥—百龙天梯。第二天，水绕四门—金鞭溪—大氧吧—前山徒步黄石寨—六奇阁，摘星台—下山回市区咯。两天玩完，超赞，虽然累了点，但是每天都是八点进，下午四点以后出来，特别充实。,
fkE898424213,418,1,2021.06.23,None,玩个几把，不要去任何旅行社，自己去景区购票点买票，不要相信任何拉客介绍的！不要相信本地人！自己去！自己去！自己去！一定要自己去！！！水太深你把握不住！不要相信任何的出租车司机说怎么怎么实惠！不要告诉出租车司机你是来旅游的！如果你钱多时间充裕那倒无所谓！,
EtM416381339,418,3,2021.09.11,张家界核心景区武陵源语音导览票（不含门票）,购买方便，使用起来也方便。值得购买,
_qqsvh1427955312,418,4,2021.09.05,张家界核心景区武陵源门票北门（天子山门票站）（成人票）（9:30-10:30）,武陵源太大了，然后景点过于分散了，景色还是很不错的。,
YOh867016064,418,4,2021.09.09,张家界核心景区武陵源（张家界国家森林公园）4日票（儿童/老人/学生票）,设备先进/服务好/态度好/,
AAAA，1,418,4,2021.07.28,张家界核心景区武陵源门票东门（吴家峪门票站）（成人票）（7:30-8:30）,景区很大，人很多，很累，来一次就够了,
瓜果天使,418,5,2021.08.03,张家界核心景区武陵源门票东门（吴家峪门票站）（成人票）（11:30-17:00）,【环境】风景如画【交通】便捷，需自费，环保车免费【项目】每个景点都不错【餐饮】有点小贵，味道一般我们二大二小用了一天半的时间走完了必打卡的景点，非常高兴呢！,
小怪825,418,4,2021.09.04,张家界核心景区武陵源4日门票成人票(吴家峪入口),张家界是真的好看，景区太大了走都走不完,
jab189067202,418,4,2021.09.11,张家界核心景区武陵源（张家界国家森林公园）4日成人票,特别喜欢，谢谢店家,
LXe572485224,418,4,2021.07.10,张家界核心景区武陵源4日成人票(张家界国家森林公园),逛武陵源，尽管有交通工具还是要做好爬山受累的准备。但是风景很漂亮。不跟团的朋友可以自己上网找攻略，但是再多攻略不如订一个好民宿，老板会详细讲解路线和注意事项的。黄石寨风景真的漂亮，但是小心猴子，我没有带塑料袋就带了个背包都被猴子扒拉了，可能是我把背包往前背了猴子以为我在护食。,
浮世mm,418,4,2021.07.12,张家界国家森林公园-武陵源4日成人票,「袁家界」「金鞭溪」「天子山索道」完美风景名胜区，山特别有特点【交通】方便【餐饮】自备最好,
qfK976521803,418,5,2021.09.08,张家界核心景区武陵源4日成人票(张家界国家森林公园),不错的体验，下次旅游还去,
Xro866855311,418,4,2021.09.05,张家界核心景区武陵源（张家界国家森林公园）4日通票成人票,美不胜收 环境太好了 天梯是真的刺激,
小粑粑的福音,418,3,2021.09.03,张家界核心景区武陵源门票南门（森林公园门票站）（成人票）（7:30-8:30）,百龙天梯有点坑，60多一个30秒就完了,
UnX828274794,418,4,2021.08.22,张家界核心景区武陵源四日通票成人票（地推票）,设施健全，服务周到，尽管有些景点间离得有点远，但摆渡很多，很及时，不用等太久，是个很不错的景点,
wo4张小猫,418,5,2021.08.30,张家界核心景区武陵源4日门票成人票(吴家峪入口),第一次去张家界，心情真的很好，以后有机会还会去,
悟VIP空,418,3,2021.05.23,张家界核心景区武陵源4日门票成人票(吴家峪入口),「袁家界」「杨家界」五年前去过一次，被导游坑了，所以开始印象不是很好。这次带着媳妇来，专门选了周内，景区里人比较少，逛起来比较舒服。杨家界和袁家界还是不错的，金鞭溪大峡谷没啥意思。景区里住的比较少，吃的东西也比较单一。,
慕鱼。,418,5,2021.09.02,张家界核心景区武陵源（张家界国家森林公园）四日通票儿童/学生/老人票,挺不错的，风景很好，推荐大家去,
cTk641773922,418,3,2021.09.03,张家界核心景区武陵源（张家界国家森林公园）四日通票儿童/学生/老人票,这个地方还可以，值得推荐一下，,
池塘的金鱼,418,3,2021.07.18,张家界国家森林公园-武陵源4日成人票,一张门票可以游玩四天，景区太大了，有些设施都没人维护,
冒失猪zh,418,5,2021.07.24,张家界核心景区武陵源门票东门（吴家峪门票站）（成人票）（8:30-9:30）,【环境】,
汤汤圆圆圆圆圆,418,4,2021.05.04,张家界核心景区武陵源4日门票成人票(吴家峪入口),推荐袁家界，景色真的很美！杨家界好看的都封了  没看着，就是要规划好路线  不然走回头路人吃力还费钱 因为每个景区都有另外消费的索道啊 百龙天梯 还有小火车。基本都是从标志门进的 吃住可以在武陵源区  方便也不贵。我们是在山上住一晚 这样就不用上山又下山,
FDI850925612,418,4,2021.07.19,张家界核心景区武陵源（儿童/老人/学生）4日票,风景太美了，仿佛人间仙境，观光梯真的很给力，一定要做索道哈哈哈高空观看美景感觉在电影里。,
百科hum,418,5,2021.07.08,张家界核心景区武陵源4日成人票(张家界国家森林公园),景色很好，引人入胜，但是杨家界的路实在是太难走了，台阶又小又滑，非常危险，天子山和袁家界都很漂亮，金鞭溪也很漂亮，很多人玩耍,
会飞的荔枝哦,418,4,2021.06.30,张家界核心景区武陵源4日门票成人票(吴家峪入口),谁说这山是阿凡达取景地，那山是西游记外景拍摄地点，我啥也没看到，就靠想象了。我们去那两天 天天下雨，山里起雾，啥也看不见[破涕为笑],
aRr822423996,418,5,2021.05.06,张家界核心景区武陵源4日门票成人票(吴家峪入口),5.1号去的，直接坐百龙电梯上山顶游玩，电梯真的推荐，看见山的那一瞬间很震撼，虽然坐了没多久哈哈，出电梯就在山顶一直走走拍拍，最后去天子山坐索道下的山2号去的金鞭溪，因为头一天山顶玩完，刚好跟人流错开，在金鞭溪玩了一天，全长太长了，而且带的有小朋友走不了那么远，走到跳鱼潭就拐回来去溪水边玩了，猴子是真的多，好多在那喂食的，下次有机会再去游玩,
meijuan29,418,5,2021.03.17,张家界核心景区武陵源4日门票成人票(吴家峪入口), ,
oge175883260,418,5,2021.06.26,张家界核心景区武陵源4日门票成人票(吴家峪入口),超级满意，自驾游，很充实！美景如画，就是腿疼，寨子里的50元一人的餐很实惠，管饱，最重要的是最好找导游，第一次和同事自驾游，有导游少走了很多路！,
lz空白.,418,3,2021.08.20,张家界核心景区武陵源4日门票成人票(吴家峪入口),感觉一般般，第一次去山上旅游，风景还行吧，就是下山的时候不太方便,
匿名用户,418,1,2021.08.26,张家界核心景区武陵源（张家界国家森林公园）4日票（儿童/老人/学生票）,性价比极差！坐车坐到想吐，不推荐,
Another4900,418,2,2021.05.18,张家界核心景区武陵源4日门票成人票(吴家峪入口),这次到张家界总共玩了三天，武陵源玩了两天。相比武陵源我觉得天门山更让我惊艳一些，这里面的景点上上下下左左右右就是围着这几座石头山看来看去，不过这里有好多猴子，而且这猴子会抢你手里的袋子，大家来游玩的时候要注意安全哈！Ps:十里画廊实际真的没有五公里，走路最多四十分钟，不过坐一下小火车感受一下也是可以的。,
匿名用户,418,3,2021.08.23,张家界核心景区武陵源4日门票成人票(吴家峪入口),有时间建议全走走！值得推荐！好地方,
匿名用户,418,5,2021.05.24,张家界核心景区武陵源门票南门（森林公园门票站）（成人票）（9:30-10:30）,张家界国家森林公园风景独特养眼，值得一看。十里画廊不推荐坐小火车，有体力的情况下建议走路观赏。我们去玩的时候在下小雨，下雨的时候不建议去上山，因为雾大，啥也看不见，但山下的金鞭溪和十里画廊下雨不瘦影响，强烈推荐！,
匿名用户,418,3,2021.08.20,张家界核心景区武陵源（儿童/老人/学生）4日票,不包括里面的东西，只有门票，感觉可以买这个，不要排队,
竖条西服628,418,4,2021.07.11,张家界核心景区武陵源4日成人票(张家界国家森林公园),景区交通方便，指示牌清晰，非常适合徒步。,
dog933849602,418,4,2021.08.14,张家界核心景区武陵源四日通票成人票（地推票）,好，不错，还会来。回来了的的某得特逗诺诺诺诺尔嘟嘟嘟呢暮冬11我11啊松坡热破二的松鼠热度,
OQg686033173,418,3,2021.07.15,张家界核心景区武陵源（儿童/老人/学生）4日票,还不错呀，下次带女朋友一起去。,
匿名用户,418,1,2021.08.21,张家界核心景区武陵源4日成人票(张家界国家森林公园),出票太慢了，直接去窗口买更实惠,
EEp471284724,418,4,2021.07.14,张家界核心景区武陵源4日门票成人票(吴家峪入口),金鞭溪从头走到尾，边走边玩，慢慢悠悠，空气清新很舒服。最想去的杨家界天波府，说是维修不能进，很难受。应该是不会去第二次了,
深蓝哨兵,418,1,2021.07.07,None,对免票的人极度不友好，就为刷个脸，排了1小时 ，,
VaE499872886,418,1,2021.07.15,None,景区公交车坐上晕车，到站能看到卖晕车贴的倒很方便，满满的套路，美团买的索道票没身份证不能用，现场重新买没身份证可以用,
匿名用户,418,2,2021.08.19,张家界核心景区（武陵源）4日成人票,想去的不是这个景区，想要看到的没有看到,
世界末日阿宝,418,4,2021.07.10,张家界核心景区（武陵源）4日成人票,还可以路口团里,
耿家传人,418,4,2021.07.01,张家界核心景区武陵源4日成人票(张家界国家森林公园),大自然的鬼斧神工真的让人心旷神怡，景区开发也很不错，不过体力要好。,
shS124019776,418,4,2021.07.20,张家界核心景区武陵源4日成人票(张家界国家森林公园),逛完天门山才来的武陵源，自然景观没得说，路线设计相对天门山有些乱，小火车、百龙天梯、索道单独收费，猴子较多，抢东西有些吓人,
Gary520520,418,5,2021.08.09,张家界核心景区武陵源（张家界国家森林公园）四日通票成人票,风景太优美了，景区太大了，我走路几个小时才下山，建议做缆车,
