id,价格,评价,评价日期,票务类型,评论,,
jww655836220,225,1,2021.10.08,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,很脏，景区很小，门票很贵！不值得。不能借着故事妄自抬高票价，服务卫生都要跟上！不值得推荐去的景点！一点都不值得推荐！我也牙根不会推荐！,,
匿名用户,225,1,2021.10.10,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,景点无话可说，我只说订票，这是我美团订票最糟糕的一次，景点票价110元在美团平台的这家公司订票135元，高出25元是因为有个沙画瓶，实际就是堂而皇之的幌子，要去市区门店自己取，没见过这样讹人的，亲们不要在这订票，现场去买或者鸣沙山月牙泉小程序购买，这家公司的态度超级差，不能退票解释蛮狠。,,
alH214783057,225,5,2021.10.06,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,蛮好的，门票良心。孩子还可以滑沙，骑骆驼。真的有那种宁静壮美的感觉。,,
HeI407307491,225,1,2021.11.26,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,没领到沙瓶 感觉很不开心 希望工作人员以后能安排好,,
iVc347738623,225,5,2021.11.15,鸣沙山月牙泉风景名胜区门票老人票（60-60岁）, ,,
匿名用户,225,3,2021.12.01,鸣沙山月牙泉门票成人票,整体和想象中较接近，环境保护不太好。,,
匿名用户,225,5,2021.09.27,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,特别喜欢～玩得好开心,,
eBA853519309,225,3,2021.11.28,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,风沙太大，牵骆驼的人脾气还不小！,,
边聪盼,225,5,2021.10.07,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,挺方便省事的唯一美中不足票价不便宜啊跟正常景区购票差不多。,,
kBC576985344,225,5,2021.11.27,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,很棒,,
匿名用户,225,2,2021.08.03,成人票鸣沙山月牙泉票（含沙画瓶）,进去园区有人会给你推荐骑摩托车，总共三个路线，会说最少的钱带你骑摩托车去整条路线，其实并没有到了一个点给你推荐，去原始沙漠，，其实没啥，花340。在一个装摄像头50。我觉得没必要。又不是自己骑旁边还有人。没什么好拍摄的，去过的都说可以讲价，我们没讲价傻傻的。骑了骆驼100。能接受。滑梯很累。体力消耗大。 说送的什么沙画瓶我们没去拿。反正很远。。。总之这个景点玩了一千多块钱。。。,,
yuhaitao19811209,225,2,2021.11.18,鸣沙山月牙泉门票成人票,服务一般，环境一般，希望今后可玩儿项目增加一些。,,
偌铉,225,4,2021.10.03,鸣沙山月牙泉风景名胜区【学生/老人票】门票,不错,,
西去黄鹤,225,5,2021.11.20,【成人票】鸣沙山月牙泉票（含沙画瓶）,1,,
偌铉,225,4,2021.10.03,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,网上买票太坑，比现场买票还贵二十呢,,
TOo150802139,225,1,2021.08.21,鸣沙山月牙泉门票成人票,买学生票第1次拿学生证还不行，必须要当面打开学信网，有史以来第1次，售票态度极其恶劣，最后一气之下买了普通票，景点可玩性一般，里面的滑翔机骆驼。等自费项目比较多，然后走不到泉边远处就被拦住了，作为甘肃人一直心心念念，但是此次行程比较失望,,
SRa130518276,225,4,2021.09.29,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,和预期吻合。景区不大，沙山特别适合孩子玩。拍照圣地。,,
匿名用户,225,1,2021.10.05,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,票中包含的沙画瓶根本不在景区内部工作人员手里，而是要去打美图客服电话，要到了一个私人微信，加了私人微信之后还需要到他指定的地方去拿，而且时间在10分钟以外，可以说是十分恶心,,
虾米吃鱼肉干,225,2,2021.11.02,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,价格比景区贵，而且赠送的东西离景区门口太远了，根本没功夫领,,
西瓜点点。,225,3,2021.11.04,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,。归山深浅去哦陕西省咸阳市王守义十三香让我破功,,
ONr83079556,225,4,2021.10.07,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,坚持爬了沙丘，虽然累但是风景真的很美。从上往下看月牙泉真的很美。遗憾的是没能感触月牙水。,,
hello吴大燕,225,5,2021.09.19,成人鸣沙山月牙泉票+21:00场普通席又见敦煌票,又见敦煌超级推荐！！！场面很震撼！！！一定要去看！鸣沙山也很人性化，首次入园后，48小时内还可以免费再次入园。建议下午七点后去或者早上六点多去，否则中午太热啦！景区外的纪念品小商品等价格也很合理！！！总的来说，体验感受特别好,,
yuzhuluo123,225,1,2021.10.23,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,那个沙画瓶不值得，就一小瓶装点沙子，还要自己去离景区挺远的地方拿，纯属坑钱,,
VxJ229380279,225,1,2021.10.11,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,买完票到景点了，景区人员说酒嘉地区不需要买票，联系商家说给退票，等了好几天，商家连消息都不回复了，真的是恶心，非常差的体验,,
三毛6002,225,5,2021.08.02,鸣沙山月牙泉门票成人票,景色特别漂亮，沙子软绵绵的，光着脚丫子走在上面特别舒服。陡峭的阶梯，一开始看着特别渗人，一路走上去不敢回头，越往高处风景越漂亮。晚上看着月牙泉真的是绝美，下来时候还蛮快的，最主要是要自己克服恐高心理，冲就是了。大青甘之旅回来后最念念不忘的就是鸣沙山，还想再去。,,
vth785610780,225,1,2021.10.08,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,景区没有毛病，玩的也开心，就是订单里面的沙画瓶还是在市里面，也不说清楚需要领取的位置和领取方式，当时着急谁会去想领取地和景区没在一个地方。,,
Kig178635639,225,4,2021.10.12,【成人票】鸣沙山月牙泉票（含沙画瓶）, ,,
HDn602570774,225,4,2021.10.31,鸣沙山月牙泉风景名胜区门票成人票,事隔那么久才来评价！,,
Xst646786023,225,1,2021.10.04,【成人票】鸣沙山月牙泉票（含沙画瓶）,这是我遇到最差的服务，位置说不清楚还挂掉顾客电话，门票110元，带什么沙画瓶，沙画瓶在地摊上卖10元2个，差差差，大家谨防上当受骗,,
yf7756,225,1,2021.10.23,鸣沙山月牙泉风景名胜区【学生/老人票】门票,无法退票 预留电话始终占线 伙计们是否有同感,,
春夏秋冬VV,225,1,2021.10.22,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,比景点还要贵、谁买谁上当，在也不想来的地方之一,,
匿名用户,225,1,2021.08.21,鸣沙山月牙泉风景名胜区语音导览票（不含门票）,景区门票100，优惠身份比较少，可能有老人学生，对于教师及摄影爱好者没有任何优惠，进去以后收费项目比较多，然后自行参观，走不到泉边，本次跟家人一起去，体验不是特别好,,
PRs675466345,225,1,2021.10.07,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,因行程变更 与商家沟通后 商家态度强硬 不予退票 甚至以支付违约金的方式处理 商家还是态度蛮横 不予退票,,
时代元朝,225,5,2021.10.14,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,骑骆驼非常的nice。没有见过大沙漠的，可以参观一下大沙漠。,,
uUH711905837,225,1,2021.10.14,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,门票比现场贵，拿门票的地方跟拿礼品的地方距离太远，还不能退款,,
ZLG286388595,225,4,2021.10.24,鸣沙山月牙泉门票成人票,hao,,
LZPDMQ150000,225,1,2021.10.12,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,买错票不给退，这是在抢劫，为落后的城市悲哀,,
匿名用户,225,3,2021.10.14,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,风景很好，但是承诺的沙画瓶找不到人给，现场问不到,,
VeW259923753,225,2,2021.10.17,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,项目还可以，但请保管好自己的财务,,
ZDQ629632835,225,5,2021.10.09,鸣沙山月牙泉门票成人票,骆驼此生必坐，不在沙漠体验一次骑骆驼真的枉此一生，超级喜欢一只白色的骆驼，意犹未尽。,,
匿名用户,225,5,2021.10.18,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,太好玩了,,
Fdu331918903,225,1,2021.10.09,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,美团太坑了，景区售票才110,想着美团能有优惠，谁知道还贵20,千万不要上当
FwD300974841,225,5,2021.10.11,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,环境优美，景区卫生干净，设施齐全，是旅游的最佳选择地。,,
匿名用户,225,5,2021.09.07,鸣沙山月牙泉门票成人票,时间稍匆忙，还会在来一次！,,
vJo225127285,225,5,2021.10.08,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,很美  要选个好天气哦  好像一张票可以玩三天，大家买的时候要注意 不要买重复啦,,
xSC166541830,225,4,2021.10.19,鸣沙山月牙泉门票成人票,挺好的,,
匿名用户,225,1,2021.09.07,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,千万别在美团买票，比现场要贵不说，领取的什么破烂沙画瓶根本在景区领不到，根本领不到！只是一个人多花十几二十块钱去买票！！而且还不支持退票！所以根本就是骗钱的！！千万别在美团买票，只会让你受堵生气！！！,,
JJd227077185,225,2,2021.10.11,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,第二次去，明显没有第一次惊艳，门票太贵了,,
怒战天下,225,4,2021.10.06,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,鸣沙山算是不错的景点了 骑骆驼1个多小时 沙漠也不错,,
oiK703703415,225,1,2021.10.07,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,门票包含沙画瓶，打客服电话直接挂了，也没领到,,
BtV846502597,225,3,2021.10.09,鸣沙山月牙泉门票成人票,环境非常不错，很出片，推荐想拍照的姐妹来！,,
匿名用户,225,2,2021.10.07,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,现场买票价格便宜些，不推荐网购。,,
zxd129012580,225,4,2021.10.04,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,挺好玩的地方，值得一去！山的镜子，沙漠的眼！,,
CBb891154227,225,1,2021.10.04,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,差到极致，大家不要买，根本进不去！不买不买不买！差差差，骗人的，我要报警，投诉,,
eXV870133963,225,5,2021.05.30,成人票鸣沙山月牙泉票（含沙画瓶）,利用工作之余，感受大自然的鬼斧神工；1、景色真的很美，每个时间段都有不一样的美景；2、有部分游客将饮料瓶、烟头等垃圾随意丢弃在沙山上，在欣赏这美丽风景的时候，突然看到好多垃圾真是！！！真心的希望出来旅游的人们提高一下自己对环境的爱护和敬畏之心！！！3、这里的工作人员很热情如有问题都会一一解答；4、这里的游乐项目也不错，直升机、滑翔机、沙漠越野车、当然骑骆驼是首选，其它项目看个人了。  鸣沙山月牙泉是大自然缔造的美，希望每一位游客能够感受到大自然给予的馈赠，只有保护好环境才能让更多的后人能够了解它的故事，欣赏到它的美，不要让美丽的景色最后变成书本里的图片。,,
coz405505275,225,2,2021.10.04,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,沙画瓶在哪领啊？找前台问又在这踢皮球,,
lGX145378438,225,1,2021.10.07,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,切记不要随便买，买了就退不了了，不给退的。,,
lm204315,225,5,2021.10.03,成人鸣沙山月牙泉票+20:00场普通席又见敦煌票,景色非常美,,
lcM196269308,225,1,2021.09.12,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,1.美团比现场贵2.沙画瓶啥的根本不知道在哪里领，电话打不通。3.无售后，根本没地方申诉4.本地人都不要票，美团上稀里糊涂买了,,
匿名用户,225,3,2021.08.30,【成人票】鸣沙山月牙泉票（含沙画瓶）,是可以去三天的，景色宜人，拍照好看,,
婷婷宝贝1208,225,5,2021.10.05,鸣沙山月牙泉门票成人票,爱了爱了,,
pZI149337237,225,1,2021.10.04,【成人票】鸣沙山月牙泉票（含沙画瓶）,太差，骗人－－－－－－－－.∵,,
南辕北辙988,225,1,2021.09.20,成人票鸣沙山月牙泉门票+沙漠露营,简直不要太差，吃得也不好，还不如去景点找个小屋，星空也没看着。票上的项目也没有,,
fcC479483873,225,2,2021.09.21,成人票鸣沙山月牙泉票（含沙画瓶）,谈不上服务，态度还可以，买套票时要送的礼物无人提醒，只好放弃了,,
匿名用户,225,5,2021.09.04,None,景区很不错，商家出票速度快，送的沙画瓶也很喜欢,,
匿名用户,225,1,2021.09.26,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,建议最好去景区买。这里买很坑。,,
kdF465978544,225,5,2021.08.11,鸣沙山月牙泉门票成人票,丝绸之路沿线应该算是最好玩的地方了,,
匿名用户,225,2,2021.09.02,鸣沙山月牙泉门票成人票,做骆驼会被强制消费，领到中间，拉骆驼的人会让你掏钱，然后他拿你的手机给你拍照，一个人三十还是四十，不拍就不继续走继续停在中间,,
Gtb363498233,225,4,2021.09.16,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,美团忠实用户，对美团客服满意。好评,,
bRE763243905,225,5,2021.09.08,鸣沙山月牙泉风景名胜区门票成人票,很想念这个地方，是年轻的我记忆里面最好的一次旅行。有机会再带家人去。,,
ZZZw雪,225,4,2021.09.11,鸣沙山月牙泉门票成人票,很有特色的旅游景点就是硬件设施需要加强,,
jfZ944415115,225,4,2021.08.11,【成人票】鸣沙山月牙泉票（含沙画瓶）,环境很好，风景也很好看，坐了越野车还不错,,
J__恒,225,1,2021.09.03,鸣沙山月牙泉票风景名胜区【成人票】（含沙画瓶）,别在美团买票，比现场买贵，什么鬼沙画瓶景区不认,,
wgg671544839,225,4,2021.08.28,鸣沙山月牙泉风景名胜区门票成人票,可以去等太阳落山，在鸣沙山看夜晚的月牙湖，真的很美,,
吴玉萍883,225,3,2021.08.25,鸣沙山月牙泉风景名胜区旺季门票成人票,入园前均可购买,挺好的。不旺大老远去一趟。就是飞机太贵了,
紫含烟112,225,3,2021.08.19,【成人票】鸣沙山月牙泉票（含沙画瓶）,旅游设施不错，环境很美，跟我十年前去的时候相比，变化还是很大的。,,
锦兮413349,225,5,2021.08.19,成人票鸣沙山月牙泉票（含沙画瓶）,非常美，和视频里一样，希望还有机会去拍飞天,,
一只咸蛋黄不够味,225,5,2021.05.23,鸣沙山月牙泉风景名胜区门票成人票, ,,
EIx856243016,225,3,2021.08.21,成人鸣沙山月牙泉票+21:00场普通席又见敦煌票,不错啦 白天太热 早上或日落去吧 拍照美,,
偶尔刀一发,225,5,2021.06.14,鸣沙山月牙泉门票成人票,很好，月牙泉很漂亮。玩沙子也挺开心。,,
匿名用户,225,1,2021.06.13,成人票鸣沙山月牙泉门票+敦煌特产+特色丝巾,千万别买这个！！！鸣沙山月牙泉门票只要110元！商家电话永远打不通！所谓的特产和丝巾还得自己去市区领，找客服联系提供的商家地址去到那根本找不到，问周围的商铺都不知道，百度地图上都找不到在哪！而且商家拒不退多收的门票差价。美团还比较良心给补贴了差价。强烈建议下架这个产品，比在景区现场买门票还贵。,,
iVc347738623,225,5,2021.08.11,鸣沙山月牙泉门票儿童票/学生票,鸣沙山月牙泉，丝路之旅最难忘的地方。实在太美了！,,
小游游！,225,5,2021.06.11,【成人票】鸣沙山月牙泉门票+敦煌特产+特色丝巾,时隔三年再次来到鸣沙山月牙泉，依旧非常美。,,
小游游！,225,5,2021.06.11,【成人票】鸣沙山月牙泉门票+敦煌特产+特色丝巾,鸣沙山月牙泉太美了，沙漠明珠,,
ufD947337662,225,1,2021.06.22,（成人）鸣沙山月牙泉票+21:00场普通席又见敦煌票+成人莫高窟正常参观票,对于近视500℃的人来说，看电影时发现自己忘带眼镜了，问工作人员说，先回车上把眼镜带上，再参观莫高窟，结果工作人员说不用，随大巴到了莫高窟，结果没眼镜不让借助手机拍照功能看，而且因为是网上订票的散客，根本不知道随谁走，一片茫然。,,
wangjianruyqyx,225,5,2021.07.28,鸣沙山月牙泉门票成人票,一边是水，一边是沙，景色很奇异，骑着骆驼走一圈，颇有些大漠黄沙任我行的感觉。,,
懒散仙森,225,5,2021.08.08,鸣沙山月牙泉门票成人票,很漂亮，值得！,,
XMV719206488,225,5,2021.07.18,鸣沙山月牙泉门票成人票,和朋友四个人一次一次一起从沙丘上冲下，一头栽到沙子里真开心，换手机了没有照片，真的度过了一个非常开心的下午。,,
VOI907752767,225,4,2021.08.04,鸣沙山月牙泉风景名胜区门票老人票（60-60岁）,很好玩，蛮不错的，值得去玩一玩,,
hen冰淇淋,225,3,2021.08.05,鸣沙山月牙泉门票成人票, ,,
我们殊途同归可好,225,5,2021.07.31,鸣沙山月牙泉门票学生票+雅丹地质公园门票学生票,真的很不错，落日很美,,
ping91367,225,3,2021.07.27,【成人票】鸣沙山月牙泉门票+敦煌特产+特色丝巾,还不错吧！就是小礼物没取很遗憾！,,
PTV505692022,225,5,2021.08.01,鸣沙山月牙泉门票儿童票/学生票,很漂亮，值得二刷。,,
PTV505692022,225,5,2021.08.01,鸣沙山月牙泉门票成人票,很漂亮。,,
KkE361169020,225,3,2021.07.29,鸣沙山月牙泉门票成人票,注意防晒，防沙子烫脚。注意天气!,,
Leo雷欧wang,225,5,2021.05.05,鸣沙山月牙泉门票成人票,去年十月一去的，今天五一上热门了，说是堵骆驼。我们是黄金周旺季去的，一般情况下是上午去莫高窟，下午去月牙泉，所以人特别多。虽然骆驼排队很多，但是驼队很多，比预想的快，骑行时间在1个小时吧，很值。而且重点就是月牙泉了。,,
Rxi737875947,225,5,2021.06.22,成人票鸣沙山月牙泉票（含沙画瓶）,完美的一次旅行,,
小兔兔兔兔丸子,225,5,2021.04.14,鸣沙山月牙泉门票成人票,当时是国庆热门的时候去的，不过我走的是返向环线，所以算是避开了大部队，但是还是人挺多的，里面不给得无人机，所以大家一定要注意了，不然会被没收的，当时中午去的，在那玩了一整天，拍照，摆造型绝对酷，大西北的感觉,,
LnB947553878,225,5,2021.07.14,鸣沙山月牙泉门票儿童票/学生票, ,,
张小蓉啊,225,5,2021.07.16,鸣沙山月牙泉门票成人票,挺好,,
hanjiagefay,225,5,2021.07.12,鸣沙山月牙泉门票成人票,日出很美,,
ABF646748187,225,5,2021.07.12,鸣沙山月牙泉门票成人票, ,,
义…x,225,4,2021.06.21,鸣沙山月牙泉门票成人票,骑骆驼看日出，晚上华沙很值得去的，一个地方看月牙泉，要到山顶去看才看得到全景，有机会还会再去。,,
pQn491122971,225,3,2021.07.04,鸣沙山月牙泉门票成人票,还可以吧，不错，很漂亮，哈哈哈哈,,
匿名用户,225,5,2021.06.24,鸣沙山月牙泉-成人票,请至少当天的18点30分前购买,挺好的，值得一去。人挺多的。还可以出去。不错，进来的时候就不用买票了，循环利用。,
atz697054186,225,5,2021.04.06,鸣沙山月牙泉门票成人票,就在天的那边很远很远有美丽的月牙泉它是天的镜子沙漠的眼星星沐浴的乐园看那  看那月牙~泉顺带一提，门票三天内可以反复进出，需要在入口处的机器激活一下。,,
FLu898127352,225,2,2021.06.17,成人票鸣沙山月牙泉票（含沙画瓶）,景色一般，坑子很多。1）门票现场买比在美团上买要便宜将近20元。2）里面所谓的歌舞表演有圈钱的嫌疑。,,
匿名用户,225,5,2021.07.03,鸣沙山月牙泉国家级风景名胜区成人门票+手机语音讲解,好,,
义…x,225,4,2021.06.21,鸣沙山月牙泉门票儿童票/学生票,真的很值得去的地方，骑骆驼真的可以，小孩子很喜欢，早上要早一点去看日出，别太晚。,,
有种人生叫做淡定,225,5,2021.06.26,鸣沙山月牙泉风景名胜区门票成人票,好，很好，非常好，必须好评，666双击，操作起来吧,,
lijianhao88,225,5,2021.06.28,莫高窟应急票+鸣沙山月牙泉票+《敦煌盛典》A区票（成人票）,演出值得一看,,
匿名用户,225,1,2021.06.14,【成人票】鸣沙山月牙泉门票+敦煌特产+特色丝巾,直接去景区买和在官方买票都是110，这个礼品还要去市区景区，没必要,,
mRw773953721,225,2,2021.05.08,成人鸣沙山月牙泉票+20:00场普通席又见敦煌票+莫高窟正常参观票,套票价格没有什么优势，最主要是美团没有提前订，鸣沙山和又见敦煌都是等到进门了刷身份证才发现没有订票信息，然后打人工服务又是各种按数字，每次前前后后差不多二十分钟才进去。建议还是联系当地旅行社订票,,
匿名用户,225,1,2021.06.18,成人票鸣沙山月牙泉票（含沙画瓶）,入园一看沙画瓶还得单独去市区取？？？什么操作这是。差评这个产品,,
好好好不错哦,225,5,2021.06.21,鸣沙山月牙泉门票成人票,妹纸很美，沙子很烫脚，回忆很难忘,,
匿名用户,225,3,2021.06.21,【成人票】鸣沙山月牙泉门票+敦煌特产+特色丝巾,没有送特产也没有送丝巾，既然没有，为什么买票时说有？,,
leiruina258,225,2,2021.06.16,成人票鸣沙山月牙泉票（含沙画瓶）,总体还行吧，但是个人觉得门票着实贵了点！,,
gdb125970929,225,5,2021.06.22,鸣沙山月牙泉门票+21:00场次《又见敦煌》普通席门票成人票+莫高窟正常票,很好！,,
Lixiaomin878588,225,1,2021.06.17,【成人票】鸣沙山月牙泉票（含沙画瓶）,美团坑人.景区110元.美团买135.下次再也不来了,,
鯊魚SAME,225,1,2021.06.15,【成人票】鸣沙山月牙泉票（含沙画瓶）,没有见到沙画瓶，骑的骆驼还把我摔下来了,,
pPD191441763,225,4,2021.06.19,成人莫高窟应急票+鸣沙山月牙泉+《敦煌盛典》C区票,剧制宏大，场景震撼,,
qVS473690769,225,3,2021.06.04,鸣沙山月牙泉门票成人票,太热了. 建议天凉的时候去，热的走不动路。月牙泉的亭子那边雪糕一根四元。亭子下面就凉快多了。,,
dNV587175594,225,5,2021.05.21,鸣沙山月牙泉门票成人票,环境很好、月牙泉电视里看过后就一直念念不忘. 身临其境后果然比电视里更让人向往，孩子玩的很嗨皮，票价也合适，有机会和时间的一定要带孩子去看看！,,
TheShine30,225,5,2021.06.18,成人票鸣沙山月牙泉票（含沙画瓶）,还会在来的   天气很好  风很温柔,,
AzA717729652,225,5,2021.06.16,鸣沙山月牙泉国家级风景名胜区成人门票+手机语音讲解,跟家人一起旅行，美到窒息，孩子玩的很开心，,,
qrC944378282,225,2,2021.06.12,鸣沙山月牙泉门票成人票,有无人机拍起来好看，进好多沙子难受,,
lKR459184734,225,1,2021.05.27,成人票鸣沙山月牙泉票（含沙画瓶）,骗人的，什么狗屁沙画瓶。联系别买，因为你要到很远的市区去拿这个沙画瓶，直接到景点买票入园就好还便宜。,,
匿名用户,225,1,2021.06.05,【成人票】鸣沙山月牙泉门票+敦煌特产+特色丝巾,门票才110，结果你们收132，附赠的礼品还要自己上门去取，真是不地道。,,
金牛座小女人109,225,5,2021.04.28,鸣沙山月牙泉门票成人票,我的旅游宗旨是:用最烂的相机，拍最美的风景……各位要是有机会一定要骑一次骆驼，还有，千万不要穿着红裙子在骆驼面前跑！（没故事，散了吧）,,
我很怕死,225,3,2021.06.10,鸣沙山月牙泉风景名胜区门票成人票,还不错吧，旅途中到过的，泉水的水不是那么多了,,
VGX408215603,225,1,2021.06.13,成人票鸣沙山月牙泉票（含沙画瓶）,答应送沙花瓶，怎么没送，骗人的.。,,
