id,价格,评价,评价日期,票务类型,评论,,
匿名用户,350,5,2021.10.28,九寨沟景区门票+观光车票（成人票）,更喜欢长海，赶上下雪，风景很美，瀑布很多很壮观，但是走的多了有点审美疲劳，10.22日去的，枫叶没有完全红，坐大巴的司机大哥说再晚3天又是另外一番风景，全程都有景区观光车，除了景点其余地方大部分都可以做观光车，推荐,,
心随着逸动,350,4,2021.09.29,九寨沟景区门票+观光车票（成人票）, ,,
lost5shi,350,3,2021.08.23,九寨沟景区门票+观光车票（成人票）,最近疫情景区会安排专车及导游，全程不换车不换座，热门经典留时间拍照。游玩建议:①首先乘坐观光车进入景区，前往日则沟游玩，五花海、珍珠滩、镜海等必玩，熊猫海到原始森林暂未开放。②乘坐观光车到达则查洼沟顶部，游览长海、五彩池，再回到诺日朗③在诺日朗餐厅可以用午餐，自助餐、泡面都有，建议自带干粮，边吃边玩，这样更有时间去看景点。④下午游览树正沟，直至出沟，这条沟可游玩的景点比较多。从诺日朗瀑布开始→犀牛海→老虎海→树正瀑布→树正群海→卧龙海→火花海→双龙海→芦苇海→盆景滩需要注意的是，芦苇海不设站点，走步行栈道游玩，这里景色不错，如果想游玩，请预留足够的时间。,,
_qq27v1326034254,350,5,2021.10.05,九寨沟景区门票+观光车票（成人票）,强烈推荐大家多花一点钱坐小巴，车上有一名导游带领，每个人都有自己的座位，一天能看完所有的景点，还可以跟人潮错开，即使是在四万多人一天的国庆假期，除了落日朗瀑布以外，每个景点的人都不多，体验感极强哦,,
vtY917161044,350,5,2021.09.03,九寨沟景区门票+观光车票（成人票）,我和朋友是自驾游从成都出发去的九寨沟 ，途中开了七个多小时的车 ，走了一段318国道 ，经过了汶川 茂县等地方 ，沿途可以看很多美丽的风景 。晚上在离九寨沟七百多米的一家酒店住了一晚 ，第二天一早去的九寨沟 。九寨沟有观光车 依次排队上车后 ，会有导游给我们介绍九寨沟的风景 ，每到达一个风景点 ，司机就会停下车 让我们出去游玩几十分钟，车辆是固定的 ，在规定时间回到车上就可以了 ，接着去下一个景点 。总之来说是非常满意的一次旅行 ，来到这里 我最有体会的一点是 九寨沟远比你想象中还要美丽 就如走进了仙境一般 无论我怎么拍照 也拍不出它的美 ，特别是五彩池和长海 真的震撼到我了 。所以想去的小伙伴们 ，一定不要错过了哟,,
VEe427851740,350,5,2021.10.24,None,在成都报了一个2天团，第一天下午游览黄龙，第二天上午游览九寨沟，下午返回成都。段导认真负责，行程安排的很好。秋季的九寨沟很美，色彩缤纷，九寨归来不看水名不虚传，值得再来，感受九寨沟其他季节的美景。,,
qiqi13147,350,4,2021.09.12,九寨沟景区门票+观光车票（成人票）,九寨沟很美，最美的景点就是它的最高处：长海。海拔3000多米，一般情况下大多数人都不会有高反，可以放心。图2.3.4都是长海，我觉得是全景区最美。水清澈见底，山水相连，看起来仿佛像一幅画。五彩池号称九寨沟之眼，但是我个人并没有觉得特别美，主要是很小的一个水池，因为小吧，所以水看起来格的蓝而已，如图4。下山的路建议走回去，一路上有很多的海子可以看，每个都很蓝。,,
vcA826160492,350,3,2021.10.09,九寨沟景区门票+观光车票（成人票）,直接进园座观光车随机送到最高处景点，然后需要步行去往下一个景点，从高到低依次游览，海子清澈见底各种颜色真不错，唯一不足景点之间厕所少的可怜，所有的海子一天根本逛不完，景点之间距离有点远，到乘车点之间距离也远，需要步行太耗费体力，门票也有点贵,,
zKt334080974,350,5,2021.10.05,九寨沟景区门票+观光车票（成人票）,值得5A，人造和自然景观没得比！九寨归来不看水！一路上的感叹惊讶！景区的各方面的改善即使是国庆，整个景区井然有序，摆渡车让游客们可以更轻松的一天完成两条路线。老人和小盆友也可以打卡，不会太累，又可以感受祖国的大好河山！,,
yeR788780627,350,5,2021.10.14,九寨沟景区门票+观光车票（成人票）,风景美不胜收，就是一天时间比较紧，景点上要有取舍，原始森林就不用去了，全是参天大树，到九寨还是水最漂亮。       景区安排合理，每个景点可上下车，下车点穿过地下通道就到一个景点，安全方便！,,
OVc576141711,350,5,2021.10.24,九寨沟景区门票+观光车票（成人票）,超级漂亮，值得一去。游完黄龙建议到岷山山脉主峰雪宝鼎，雪山梁子观景台看看。风景真的是超一绝。海拔5588。上边风比较大建议带上厚衣服。从雪山梁子下到半山腰有一户绝美的藏族人家，宛若世外桃源。风景超级赞！强烈推荐一定要来看一看，声临其境，感受祖国大好河山！,,
简ea,350,5,2021.10.07,九寨沟景区门票+观光车票（成人票）,天气预报说下雨，结果去的时候天晴，运气挺好的，长袖加外套就行了，可以带羽绒服，遇上下雨应该很冷，早晚温差比较大，看网上说的招手就停车是假的，车是到站点才会停的，所以走了很多冤枉路……五彩池是真的美！！,,
匿名用户,350,2,2021.11.06,九寨沟景区门票+观光车票（成人票）,很一般，除了水不一样。其他的跟四姑娘山一样的景色。阿坝州那边都一个景色。而且景区车太少了，同样是花一样的钱，很大的几率你会坐不到座位。凭啥花了钱还要站着。我们还是淡季去的，如果是节假日，就不敢现象了，花钱受罪。名声都是吹出来的，广告打好了。如果从来没去过阿坝可以去看看，如果去过阿坝任意一个地方，就没必要去了。真不好玩，主要是门票也挺贵的，没有感受到他的价格到底值在什么地方。反正我是不会再去的了。,,
匿名用户,350,3,2021.10.02,九寨沟景区门票+观光车票（成人票）,风景是好风景，景区天气变化无常，一会儿太阳一会儿下雨，十月份气温较低，景区的服务人员态度都很好。但是，餐馆简直坑人，普普通通的一份素菜汤，里面只有四片番茄和少量白菜条就18元，四菜一汤150元。,,
头不痛的薛,350,5,2021.08.25,九寨沟风景区门票+观光车票（学生票）,九寨沟的景色只有去过的人才知道，实景比图片上的还要好看的多，水蓝的感觉就像油画一般.确实应了那句话黄山归来不看山，九寨归来不看水.看过九寨沟的水色之后估计很难再对别的地方的山水能再有这么高的评价了，可能也是由于疫情原因吧，我去那会也没啥人，当天景区客流量也就不到7000人，景区里的摆渡车都不用排队，只要等一会就直接能坐上了，早上7:30入的园区，下午4点出来的，把所有地方都逛了一遍.希望以后秋天有机会还能再去一次，体验一下不同的九寨沟.,,
深蓝水银,350,4,2021.12.03,九寨沟景区门票+观光车票（成人票）,景色不错值得一去,,
幸运之謃,350,5,2021.10.07,九寨沟景区门票+观光车票（成人票）,风景非常美，空气清新，去过一次还想再去一次，犀牛海和诺日朗瀑布最美，风景如画，特别是九寨沟的水真是应了那句话九寨归来不看水，太美啦！下次冬季再去一次看看冬季的九寨沟，雪景更美……环境不错，交通方便，酒店坐车过去只需十分钟！,,
biB873473396,350,4,2021.11.20,九寨沟风景区门票（成人票）+景区内VIP观光车,服务周到，按排合理景色美不胜收，棒棒哒！有机会还会去游玩,,
爱臭美的老太婆,350,3,2021.08.20,None,自驾游第二次来到九寨沟，本来这次带孩子来之前，强烈要求带孩子来一次美丽的九寨沟，说下自己的真实感受。首先，国家5A级景区没有自己的停车场，周边停车场属于私人30元一天，距离远。其次，刚进入景区观光车要等待很久，坐上观光车后感觉很紧张，每停一处景点限时了，要求时间返回车上，走马观花的感觉，我理解为观光客流少，景区节省观光车流吧。另外，观光车会停留午餐地点，自助餐里98元一位，外面的售卖点。单说桶装方便面吧，15一份（个人认为超出物价局规定大众商品的价格）地震重建后有些特色景点也没有了。,,
哒哒84,350,5,2021.10.06,九寨沟景区门票+观光车票（成人票）,真的很美，很美，很美！一生值得去三次的地方！景区内的【交通】设施都是很不错的，不知道为什么唯一的清真餐厅关门了，很遗憾！毕竟来自世界各地的游客，还是有很大一部分需求清真餐的！,,
wxld1995,350,5,2021.09.14,九寨沟景区门票+观光车票（成人票）,九寨沟的美是照片所不能展示的，大自然的馈赠真是极美的，让人流连忘返，想要旅游的伙伴要早点去，中间尽量不要休息 怕你看不完这美丽的景色，建议你们先去五花海然后走到游客中心换成长海的大巴，然后步行到五石海，乘坐大巴到你接下来想去的景点 这样比较快  而且节省时间,,
gouduonunu,350,3,2021.10.06,九寨沟风景区 门票+观光车票+保险票（成人票）,看过震后的九寨真是心情复杂，本来以为跟原来相差不大，因为宣传说都修复了。但是实际看过后才发现还是有很大的区别，先说好的，树正海和长海这两条沟跟以前区别不大，长海一侧的水还是那么的清澈灵动让人舒心，树正因为是最下的沟一般坐车路过就望过去也没多打区别。接着就说坏的一面…原始森林和珍珠滩一侧的沟大失所望，首先是上游的箭竹海与熊猫海，真是不忍卒睹，水质就跟外边河沟里的一样，绿中泛着泥浆色，虽说前两天有大雨，但九寨的水不是主要靠地下矿物质水源吗？没有那种水，根本没有碧蓝水色，湖泊的灵魂也没有了，珍珠滩瀑布也是，细看也是绿水中泛着黄，以前看过的有水中沉木和鱼的海子也不知哪里去了，镜海的水虽然经前面的沉淀，但是仍然不是碧蓝的，哎，大自然灾害哪有那么容易恢复，深蓝透彻的灵魂的颜色再也见不到了，这条沟本是景点集中的主要观看路线，现在看来，打了几乎五折。,,
qwb476211349,350,5,2021.09.15,九寨沟景区门票+观光车票（成人票）,九寨归来不看水，是真的漂亮，这是我第二次玩九寨了，第一次是在13年，那时候很漂亮，现在地震过后树正沟瀑布有点变化，有很多滑坡的痕迹，不过瀑布很好看，地震对景区没有影响！住酒店的建议坐酒店车到景区，停车场收费太贵了，我停车8小时45元，游玩时间大概就8小时左右，九月份天气凉了，要穿冲锋衣或者薄的羽绒服，老年人穿厚点！,,
匿名用户,350,5,2021.11.10,九寨沟景区门票+观光车票（成人票）,景色美，空气好，不过建议自带午饭，景区内很贵。,,
cqp558075050,350,5,2021.11.23,九寨沟风景区门票+观光车+沟口酒店至景区往返车(成人票）,不愧人间仙境的称号，充满了诗情画意，早上随第一批游客入景区，最后一批才出来，流连忘返，舍不得出来。是被管理人员最后强制带出来。游兴未尽，第二天又购票重新游览了一天，拍了许多美照，为了赶路，直到下午4点多才恋恋不舍地离开。以后，还想游春天，夏天，冬天的九寨沟。,,
ywe904569988,350,5,2021.11.02,九寨沟风景区门票+观光车（残疾人票）,人间仙境，去了才能感受!,,
踏雪漂泊人,350,4,2021.11.22,九寨沟景区门票+观光车票（成人票）,服务周到，山与水的完美结合，感叹大自然的鬼斧神工！,,
XUp990702654,350,2,2021.10.19,九寨沟至黄龙景区往返直通车(不限人群票),体验很一般，路上要进一次购物点，经过购物点后立马冷漠无语。在黄龙下车后五分钟，问司机可否送一下行李想加羽绒服，司机直接挂断电话，再打电话就说只接返程。景色美，希望人文服务也加强。,,
阿芬龘,350,5,2021.09.29,九寨沟风景区门票+观光车+沟口酒店至景区往返车(成人票）,景区风景很美，真的是不错的选择。早上7点半到景区，回酒店也5点了，服务很好。值得一游我买的299套餐，包括酒店和景区往返，不建议买此套餐。走路十分钟，打车不到十块钱，套餐多收40*2=80元。很不值。,,
spV337317221,350,5,2021.09.27,九寨沟景区门票+观光车票（成人票）,景区在地震过后设施设备更加完善了，景区导游和观光车师傅都非常的负责，给每位游客都是有问必答的，来九寨沟很多次了，每次来都有不同的感受，每个季节都是非常漂亮的，春天有漂亮的花，夏天是绿油油的树，特别是秋天的彩林，我最喜欢，还有冬天的白雪蓝冰，每一幕都比画还美,,
丁娜思密达,350,5,2021.10.30,九寨沟景区门票+观光车票（成人票）,太美了，真的不需要滤镜，苹果手机拍摄,,
bmq711991421,350,5,2021.10.05,九寨沟景区门票(成人票)+观光车+沟口酒店至景区往返专车,给九寨沟的服务点一个大大的赞，景区的摆渡车真的特别好，基本一分钟左右一本，等一下下就上车了，而且还有座位，每一个景点都安排的妥妥的，而且距离一般三百多米，太棒了，车上还有免费的语音讲解，让游客了解每一个景点的美和传说，以及历史，棒棒哒，九寨沟太美了，九寨归来不看水，是真的,,
如果有叮当,350,5,2021.08.29,None,还是国内最美的景区之一。今天天气不错。芦苇海盆景滩不要去了。没什么景致。跟导游说五花海多玩一会（我们车只给了30分钟，明显不够）要据理力争。合理时间为：五花海50分钟，珍珠滩50分钟，镜海长海五彩池10-15分钟，到达犀牛海后，离队步行，到树正瀑布坐车（这时候可以自由活动，不用原车原位了），差不多可以撤退了。,,
匿名用户,350,4,2021.10.15,九寨沟景区门票+观光车票（成人票）,景色非常美，就是观光车不够完善，有些景点不停靠，如果自己要去看的话，时间有点不够。还有，停靠点坐车也不排队，全靠挤，没有工作人员维持秩序。建议景区开门就去，而且还要稍微放快速度，否则，一天看不完所有景点。,,
匿名用户,350,5,2021.10.31,九寨沟景区门票+观光车票（成人票）,自带滤镜，五彩池真的必去，太美！,,
匿名用户,350,2,2021.10.02,九寨沟景区门票(成人票)+观光车+沟口酒店至景区往返专车,怎么说呢，景区景色真是一流，景区内的服务也是不错的，垃圾的地方在于出了景区后的外围服务。进景区前，由于国庆节人流量大，能理解景区车位不足，让自驾车停到一个临时的停车场，使用摆渡车送到景区门口，在搭乘摆渡车前后无任何引导，无排队，只要你强你就能挤得上，这都还是小事，关键每个工作人员说的摆渡车上车位置都不一样，最后还是我们自己跑出去才找到车，平白浪费一个小时在停车场。游玩结束出景区，门口路全程拥堵，摆渡车来不及转运，刚好一个一个本地人的商务车，10块钱一个人送到摆渡车搭乘起始位置，结果半路忽悠带骗让我们下了车。我认了，自己没能力处理就认活该。自己走到停车位置开车，停车场人给我收20块停车费？啥玩意，真的是，没见过这么无语的收费。要不是景区内服务和景色确实可以，我都可能会建议我亲朋好友慎重考虑来这旅游了。,,
oTO876436861,350,5,2021.11.04,九寨沟景区门票+观光车票（成人票）,九寨归来不看水，非常值得，就是人有点多，桌子椅子休息这些设施有点少，饭点大家都坐在地上阻碍交通,,
圈圈zZ，,350,3,2021.10.06,九寨沟景区门票+观光车票（成人票）,风景是真的美，但是需要提前看好天气，准备好衣服，穿双舒服的鞋子，避开国庆这种高峰期去会更好。如果遇到下雨风景就没那么好看了。每个景点距离远，坐车晕车还欣赏不了沿途的风景！走路欣赏会更好，但是不现实，又远又累。还是值得一去。推荐。,,
LfN932802377,350,4,2021.10.05,九寨沟风景区门票+观光车票+沟口酒店至景区单程车票（学生票),「珍珠滩瀑布」里面的风景很多，逛了一天都没逛到一半那么多一路以来，人太多了！可是最难受的是走的腿都断了的感觉【环境】很美丽具美？具推荐！这里真的不愧是人间仙境呀太漂亮了哦「五彩池」「诺日朗瀑布」「五花海」下一次我一定要走完剩下的地方,,
jjj8412,350,5,2021.11.13,九寨沟景区门票+观光车票（成人票）,太美了四季不同终于见识到了美不胜收风景绝色海拔有点高有点,,
黎明的那一丝缠绵,350,5,2021.10.29,九寨沟景区门票+观光车票（成人票）,原图无滤镜真的美，太大了，一天根本玩不完而且景点都好美，不枉此行以后有机会还会过来一趟的,,
huagouzi,350,5,2021.09.13,九寨沟风景区门票+观光车票+沟口酒店至景区单程车票(成人票),领略过恢宏壮丽的黄石公园，欣赏了一半湛蓝一半苍茫的大美青海湖，再次走进九寨沟，这片风景依然没让我们失望。九寨归来不看水，是因为九寨水艳色天下重的独特魅力，各款深蓝浅碧，层层铺陈开去，让一众定义色彩的形容词黯然神伤！[爱心],,
匿名用户,350,2,2021.09.12,九寨沟景区门票+观光车票（成人票）,说实话，这么贵的一个票价，5A级景区，结果景区里没有开水供应。好不容易在珍珠瀑布那里看到一个开水壶，那人不给你用。要收费：5元钱一杯！体验感非常不好！不想来二次了。工作人员态度也不好，就像欠了他多少钱一样。风景和附近的松坪沟差不多，松坪沟价格便宜，服务人员态度也很好！,,
lsl859083574,350,5,2021.10.06,九寨沟景区门票(成人票)+观光车+沟口酒店至景区往返专车,九寨沟太美了，九寨归来不看水，名不虚传！但是，如果买的这个套票朋友，可能很亏了。3第一:一般酒店都会有接送至景区的服务。第二:我再说下我买的这个包接送的套票服务是个什么情况，我买了这个套票后，才去订的酒店，才知道酒店包接送，但是票不能退，也就算了。入住的酒店离售票口走路要走25分钟左右，我们给专车工作人员说地址，他们说你们住的很近，走路就能去，不需要他们来接，但是我因为考虑到景区玩一天也要走很久，而且预报有大雨，还是坚持要他们来接，他们就很不耐烦，我就奇怪了，我掏了钱的，套票比普通的票贵了40，，我掏了钱我凭啥不能享受服务，虽然他们最后同意了，但是要求我们6点就要出发，我们也是认同的，没问题，但是第二天早上我们准时到达接送点，结果等了20分钟接送师傅才过来，还是下着大雨。他们先前还一再强调哦6点要准时出发，呵呵，自己都做不到还要求别人，也是神人。还有最关键的是，车上的的时候，师傅就说，下午的时候会堵车，你们就自己走路回酒店吧，不要找他们了，，我就呵呵了，所以，千万别买套票。坑的一B,,
匿名用户,350,4,2021.11.19,九寨沟门票+观光车票+保险票（成人票）,购票很方便。景区环境很美！,,
一江秋水半江月,350,5,2021.10.12,九寨沟景区门票+观光车票（成人票）,风景太美了，照相机拍不出它真正的美，只能用肉眼去看，真的非常美，一生中一定要去一次的地方,,
why0743,350,4,2021.09.22,九寨沟景区门票+观光车票（成人票）,九寨沟很美，值得下次继续来看看。不同季节应该会有不同的美景吧。从成都出发建议走茂县，松潘方向。一路游玩过去，路好走，风景美。后期通高速还准备再去一次，这次去还有一半的风景没有玩，都很美就没看完，下次去看另外一半吧。,,
Dzx632324414,350,5,2021.10.25,九寨沟景区门票+观光车票（成人票）,景区大，一天都不太能逛完,,
小玥妈妈,350,5,2021.10.31,九寨沟景区非法定节假日门票+观光车票（60岁以上老人票）,这个季节的九寨沟实在是漂亮！！,,
Sunflower锟,350,3,2021.11.14,九寨沟景区门票+观光车票（成人票）,看到评价还不错就来了，确实跟大家夸的没有出入，希望店家继续保持噢一进门真的是惊艳到了，环境特别不错，是周围环境最好的了，性价比非常高一进门真的是惊艳到了，环境特别不错，是周围环境最好的了，性价比非常高一进门真的是惊艳到了，环境特别不错，是周围环境最好的了，性价比非常高一进门真的是惊艳到了，环境特别不错，是周围环境最好的了，性价比非常高看到评价还不错就来了，确实跟大家夸的没有出入，希望店家继续保持噢看到评价还不错就来了，确实跟大家夸的没有出入，希望店家继续保持噢,,
盈盈诗,350,5,2021.11.06,九寨沟景区门票+观光车票（成人票）,九寨沟真的太美啦！这个季节也很好看！,,
阡陌客408,350,5,2021.10.15,九寨沟景区门票+观光车票（成人票）,超级好玩，地图很大。热情似火，马不停蹄。不知不觉间时间就过完了。,,
Y勤奋的小胖子,350,5,2021.09.02,九寨沟景区门票+观光车票（成人票）, ,,
xTm451358168,350,5,2021.10.05,九寨沟景区门票+观光车票（成人票）,10.5去的，人不算特别多，景色很美，有各种瀑布，带着父母景点没有全逛完，交通方便，景区内有大巴车。,,
